Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-VLDL-FC,594,1.079 [1.021-1.140],1.000,,Free Cholesterol in Medium VLDL
L-LDL-PL,492,1.066 [1.006-1.130],1.000,,Phospholipids in Large LDL
LA,635,1.057 [1.002-1.115],1.000,,Linoleic Acid
VLDL-P,640,1.043 [0.991-1.097],1.000,,Concentration of VLDL Particles
XL-VLDL-PL,607,1.021 [0.966-1.079],1.000,,Phospholipids in Very Large VLDL
M-LDL-FC%,651,0.990 [0.940-1.044],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
S-VLDL-TG%,564,0.990 [0.935-1.047],1.000,,Triglycerides to Total-Lipids in Small VLDL percentage
XS-VLDL-TG%,661,0.975 [0.924-1.028],1.000,,Triglycerides to Total-Lipids in Very Small VLDL percentage
LA%,226,0.910 [0.846-0.979],1.000,,Linoleic Acid to Total-Fatty Acids percentage
Acetone,15,0.621 [0.412-0.936],1.000,,Acetone
