Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XS-VLDL-FC%,460,1.265 [1.082-1.479],1.000,,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Acetate,13,1.070 [0.815-1.403],1.000,,Acetate
XXL-VLDL-C%,176,1.055 [1.025-1.085],1.000,,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Phe,17,1.031 [0.912-1.165],1.000,,Phenylalanine
XS-VLDL-PL%,375,1.014 [0.973-1.057],1.000,,Phospholipids to Total-Lipids in Very Small VLDL percentage
PUFA,699,0.565 [0.467-0.685],0.002,**,Polyunsaturated Fatty Acids
Total-FA,654,0.547 [0.442-0.677],0.007,**,Total-Fatty Acids
MUFA,654,0.531 [0.426-0.660],0.003,**,Monounsaturated Fatty Acids
Omega-6,651,0.525 [0.422-0.652],0.002,**,Omega-6 Fatty Acids
LA,635,0.524 [0.419-0.655],0.003,**,Linoleic Acid
GlycA,385,0.308 [0.206-0.460],0.002,**,Glycoprotein Acetyls
