Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Leu,36,1.062 [0.929-1.215],1.000,,Leucine
M-VLDL-FC%,574,1.033 [1.003-1.064],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,604,1.025 [0.995-1.055],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
Glu,32,1.009 [0.864-1.177],1.000,,Glucose
L-LDL-C%,403,1.006 [0.975-1.038],1.000,,Cholesterol to Total-Lipids in Large LDL percentage
Non-HDL-C,563,0.997 [0.969-1.026],1.000,,Total-Cholesterol Minus HDL-C
L-VLDL-TG%,369,0.994 [0.963-1.026],1.000,,Triglycerides to Total-Lipids in Large VLDL percentage
LDL-C,476,0.994 [0.965-1.023],1.000,,LDL Cholesterol
MUFA%,525,0.975 [0.948-1.002],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
HDL-L,598,0.963 [0.931-0.996],1.000,,Total-Lipids in HDL
