Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-VLDL-FC,593,1.018 [0.991-1.045],1.000,,Free Cholesterol in Small VLDL
LDL-C,476,1.015 [0.987-1.043],1.000,,LDL Cholesterol
Total-FC,546,1.012 [0.985-1.039],1.000,,Total-Free Cholesterol
S-VLDL-TG,687,1.009 [0.984-1.035],1.000,,Triglycerides in Small VLDL
M-HDL-CE,607,1.005 [0.977-1.035],1.000,,Cholesteryl Esters in Medium HDL
L-HDL-L,623,1.000 [0.977-1.024],1.000,,Total-Lipids in Large HDL
ApoB/ApoA1,542,0.994 [0.968-1.020],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
IDL-C,568,0.993 [0.967-1.020],1.000,,Cholesterol in IDL
XS-VLDL-CE%,644,0.989 [0.963-1.015],1.000,,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
IDL-FC%,332,0.984 [0.949-1.020],1.000,,Free Cholesterol to Total-Lipids in IDL percentage
