Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
GlycA,385,1.282 [1.180-1.393],0.001,**,Glycoprotein Acetyls
Citrate,102,1.073 [0.909-1.267],1.000,,Citrate
ApoA1,587,1.047 [0.992-1.105],1.000,,Apolipoprotein A1
HDL-L,598,1.035 [0.984-1.089],1.000,,Total-Lipids in HDL
XXL-VLDL-TG%,153,1.029 [0.962-1.100],1.000,,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
HDL-size,600,0.984 [0.946-1.023],1.000,,Average Diameter for HDL Particles
Omega-6/Omega-3,257,0.969 [0.939-1.001],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XS-VLDL-C%,642,0.934 [0.891-0.979],1.000,,Cholesterol to Total-Lipids in Very Small VLDL percentage
LA%,226,0.912 [0.858-0.968],1.000,,Linoleic Acid to Total-Fatty Acids percentage
S-VLDL-C%,527,0.903 [0.856-0.952],1.000,,Cholesterol to Total-Lipids in Small VLDL percentage
