Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
LA%,226,1.956 [1.702-2.247],6.776e-16,***,Linoleic Acid to Total-Fatty Acids percentage
Omega-6%,366,1.693 [1.456-1.969],1.811e-06,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
M-LDL-PL%,271,1.494 [1.281-1.744],0.083,,Phospholipids to Total-Lipids in Medium LDL percentage
Omega-6/Omega-3,257,1.466 [1.355-1.585],3.877e-16,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
3-Hydroxybutyrate,68,1.032 [0.687-1.551],1.000,,3-Hydroxybutyrate
PUFA,699,0.740 [0.673-0.814],1.522e-04,***,Polyunsaturated Fatty Acids
Unsaturation,310,0.712 [0.651-0.779],2.915e-08,***,Degree of Unsaturation
Omega-3%,215,0.701 [0.648-0.758],1.149e-13,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Omega-3,420,0.691 [0.642-0.743],4.806e-18,***,Omega-3 Fatty Acids
DHA,289,0.661 [0.602-0.725],7.216e-13,***,Docosahexaenoic Acid
DHA%,240,0.658 [0.587-0.737],1.576e-07,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
