Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
LA%,226,1.082 [1.058-1.107],9.446e-07,***,Linoleic Acid to Total-Fatty Acids percentage
Omega-6/Omega-3,257,1.048 [1.036-1.061],3.540e-09,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
MUFA%,525,1.048 [1.030-1.066],0.024,*,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-LDL-TG%,474,1.015 [1.000-1.031],1.000,,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-TG,678,1.002 [0.987-1.017],1.000,,Triglycerides in Very Small VLDL
Omega-3,420,0.962 [0.949-0.976],0.020,*,Omega-3 Fatty Acids
XL-HDL-CE,664,0.961 [0.947-0.975],0.035,*,Cholesteryl Esters in Very Large HDL
Omega-3%,215,0.955 [0.944-0.967],9.132e-08,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
DHA,289,0.952 [0.937-0.968],4.568e-04,***,Docosahexaenoic Acid
Unsaturation,310,0.949 [0.937-0.961],1.577e-10,***,Degree of Unsaturation
DHA%,240,0.943 [0.929-0.958],2.616e-08,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
