Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-LDL-FC,407,1.634 [1.435-1.861],3.055e-08,***,Free Cholesterol in Medium LDL
LDL-FC,411,1.611 [1.417-1.831],8.306e-08,***,Free Cholesterol in LDL
M-LDL-PL,492,1.588 [1.412-1.786],3.167e-09,***,Phospholipids in Medium LDL
LDL-PL,473,1.587 [1.417-1.777],2.673e-10,***,Phospholipids in LDL
Clinical LDL-C,463,1.585 [1.410-1.782],3.160e-09,***,Clinical LDL Cholesterol
S-LDL-FC,410,1.580 [1.399-1.784],4.184e-08,***,Free Cholesterol in Small LDL
S-LDL-PL,409,1.574 [1.395-1.776],4.180e-08,***,Phospholipids in Small LDL
S-LDL-C,489,1.573 [1.404-1.762],1.460e-09,***,Cholesterol in Small LDL
L-LDL-FC,474,1.572 [1.394-1.773],4.134e-08,***,Free Cholesterol in Large LDL
LDL-C,476,1.568 [1.397-1.760],5.629e-09,***,LDL Cholesterol
L-LDL-PL,492,1.563 [1.394-1.752],4.450e-09,***,Phospholipids in Large LDL
S-LDL-L,511,1.548 [1.388-1.725],7.919e-10,***,Total-Lipids in Small LDL
L-LDL-C,488,1.540 [1.376-1.723],1.254e-08,***,Cholesterol in Large LDL
LDL-L,502,1.539 [1.375-1.722],1.546e-08,***,Total-Lipids in LDL
LDL-CE,506,1.538 [1.373-1.723],2.429e-08,***,Cholesteryl Esters in LDL
L-LDL-CE,502,1.528 [1.366-1.709],2.964e-08,***,Cholesteryl Esters in Large LDL
M-LDL-C,525,1.527 [1.363-1.710],6.299e-08,***,Cholesterol in Medium LDL
L-LDL-L,508,1.525 [1.368-1.700],6.651e-09,***,Total-Lipids in Large LDL
M-LDL-L,531,1.523 [1.363-1.702],2.584e-08,***,Total-Lipids in Medium LDL
S-LDL-CE,543,1.519 [1.364-1.693],8.349e-09,***,Cholesteryl Esters in Small LDL
M-VLDL-CE,487,1.499 [1.329-1.690],9.889e-06,***,Cholesteryl Esters in Medium VLDL
M-LDL-P,508,1.499 [1.334-1.683],2.209e-06,***,Concentration of Medium LDL Particles
M-LDL-CE,550,1.481 [1.326-1.653],7.226e-07,***,Cholesteryl Esters in Medium LDL
S-LDL-P,566,1.469 [1.322-1.632],1.901e-07,***,Concentration of Small LDL Particles
L-LDL-P,541,1.468 [1.322-1.631],2.011e-07,***,Concentration of Large LDL Particles
Non-HDL-C,563,1.467 [1.320-1.630],2.474e-07,***,Total-Cholesterol Minus HDL-C
IDL-P,505,1.466 [1.310-1.641],6.386e-06,***,Concentration of IDL Particles
LDL-P,552,1.463 [1.317-1.625],3.108e-07,***,Concentration of LDL Particles
IDL-CE,553,1.444 [1.298-1.605],2.820e-06,***,Cholesteryl Esters in IDL
ApoB,565,1.440 [1.300-1.595],7.583e-07,***,Apolipoprotein B
IDL-C,568,1.433 [1.292-1.589],2.433e-06,***,Cholesterol in IDL
M-VLDL-C,535,1.430 [1.280-1.598],5.760e-05,***,Cholesterol in Medium VLDL
ApoB/ApoA1,542,1.408 [1.267-1.565],5.347e-05,***,Apolipoprotein B to Apolipoprotein A1 ratio
IDL-FC,587,1.406 [1.271-1.556],8.411e-06,***,Free Cholesterol in IDL
Total-CE,575,1.402 [1.259-1.562],1.833e-04,***,Total-Esterified Cholesterol
Total-FC,546,1.398 [1.257-1.556],1.818e-04,***,Total-Free Cholesterol
L-LDL-C%,403,1.397 [1.238-1.577],0.015,*,Cholesterol to Total-Lipids in Large LDL percentage
Total-C,563,1.393 [1.249-1.553],5.981e-04,***,Total-Cholesterol
IDL-L,573,1.389 [1.259-1.532],1.310e-05,***,Total-Lipids in IDL
Remnant-C,577,1.375 [1.242-1.523],2.404e-04,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
S-VLDL-FC,593,1.358 [1.228-1.501],6.207e-04,***,Free Cholesterol in Small VLDL
M-VLDL-FC,594,1.349 [1.217-1.495],0.003,**,Free Cholesterol in Medium VLDL
S-VLDL-PL%,600,1.328 [1.210-1.457],4.918e-04,***,Phospholipids to Total-Lipids in Small VLDL percentage
IDL-PL,591,1.321 [1.201-1.452],0.002,**,Phospholipids in IDL
S-VLDL-FC%,609,1.317 [1.200-1.445],0.002,**,Free Cholesterol to Total-Lipids in Small VLDL percentage
M-VLDL-PL,632,1.304 [1.181-1.439],0.032,*,Phospholipids in Medium VLDL
S-VLDL-PL,664,1.281 [1.168-1.404],0.033,*,Phospholipids in Small VLDL
IDL-TG%,635,0.815 [0.751-0.884],0.221,,Triglycerides to Total-Lipids in IDL percentage
XS-VLDL-TG%,661,0.812 [0.744-0.886],0.734,,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-VLDL-TG%,609,0.767 [0.687-0.856],0.538,,Triglycerides to Total-Lipids in Medium VLDL percentage
S-VLDL-TG%,564,0.729 [0.653-0.814],0.005,**,Triglycerides to Total-Lipids in Small VLDL percentage
S-HDL-PL%,367,0.667 [0.579-0.767],0.003,**,Phospholipids to Total-Lipids in Small HDL percentage
