Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Albumin,0.2700,0.2228,Albumin
GlycA,0.2485,0.2138,Glycoprotein Acetyls
L-LDL-TG%,0.0488,0.1155,Triglycerides to Total-Lipids in Large LDL percentage
IDL-CE%,0.0617,0.1091,Cholesteryl Esters to Total-Lipids in IDL percentage
L-LDL-C%,0.0373,0.0800,Cholesterol to Total-Lipids in Large LDL percentage
LA%,0.0512,0.0647,Linoleic Acid to Total-Fatty Acids percentage
PUFA%,0.0318,0.0326,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
Creatinine,0.0382,0.0297,Creatinine
ApoB/ApoA1,0.0402,0.0284,Apolipoprotein B to Apolipoprotein A1 ratio
LA,0.0375,0.0257,Linoleic Acid
L-HDL-PL%,0.0167,0.0128,Phospholipids to Total-Lipids in Large HDL percentage
Tyr,0.0200,0.0119,Tyrosine
L-HDL-CE%,0.0237,0.0094,Cholesteryl Esters to Total-Lipids in Large HDL percentage
PUFA/MUFA,0.0072,0.0081,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Citrate,0.0117,0.0062,Citrate
3-Hydroxybutyrate,0.0047,0.0027,3-Hydroxybutyrate
XL-HDL-FC,0.0048,0.0027,Free Cholesterol in Very Large HDL
Phe,0.0055,0.0027,Phenylalanine
His,0.0047,0.0024,Histidine
Val,0.0050,0.0022,Valine
L-LDL-FC,0.0023,0.0020,Free Cholesterol in Large LDL
Acetate,0.0032,0.0020,Acetate
XL-HDL-TG,0.0020,0.0019,Triglycerides in Very Large HDL
XS-VLDL-FC%,0.0033,0.0015,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Glu-lactate,0.0027,0.0013,Glucose-lactate
XXL-VLDL-TG,0.0023,0.0012,Triglycerides in Chylomicrons and Extremely Large VLDL
IDL-FC%,0.0023,0.0011,Free Cholesterol to Total-Lipids in IDL percentage
IDL-PL%,0.0022,0.0009,Phospholipids to Total-Lipids in IDL percentage
Lactate,0.0025,0.0008,Lactate
Gln,0.0017,0.0008,Glutamine
Total-BCAA,0.0017,0.0008,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
SFA%,0.0012,0.0005,Saturated Fatty Acids to Total-Fatty Acids percentage
Acetoacetate,0.0012,0.0005,Acetoacetate
Leu,0.0007,0.0004,Leucine
Glu,0.0007,0.0003,Glucose
XS-VLDL-CE%,0.0002,0.0002,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
LDL-size,0.0003,0.0001,Average Diameter for LDL Particles
Pyruvate,0.0002,0.0001,Pyruvate
L-LDL-PL%,0.0002,7.6900e-05,Phospholipids to Total-Lipids in Large LDL percentage
DHA,0.0002,5.3266e-05,Docosahexaenoic Acid
Ile,0.0002,5.0465e-05,Isoleucine
