Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
N14_CYSTITIS,693,0.397 [0.383-0.41],1.000e-315,***,Cystitis,Genitourinary
N14_URINOTH,1485,0.263 [0.246-0.28],5.508e-210,***,Other diseases of urinary system,Genitourinary
E4_HYPERLIPMIX,365,0.227 [0.197-0.26],4.148e-44,***,Mixed hyperlipidaemia,Endocrine and metabolic
KRA_PSY_ANYMENTAL,2504,0.159 [0.148-0.17],2.105e-163,***,Any mental disorder,Mental and behavioural
N14_MALEGEN,1376,0.139 [0.131-0.15],6.326e-258,***,Diseases of male genital organs,Genitourinary
G6_DEGENOTH,14,0.122 [0.077-0.17],0.022,*,Other and unspecified degenerative diseases of nervous system,Nervous
M13_SOFTTISSUEOTH,600,0.107 [0.092-0.12],3.868e-39,***,"Other soft tissue disorders, not elsewhere classified",Musculoskeletal
AB1_BACT_INTEST_OTH,357,0.093 [0.086-0.10],7.087e-150,***,Other bacterial intestinal infections,Infectious and parasitic
F5_ANXIETY,71,0.091 [0.073-0.11],2.168e-16,***,Other anxiety disorders,Mental and behavioural
K11_FISTULA,485,0.090 [0.086-0.09],1.000e-315,***,Colonic or urogenital fistula,Digestive
M13_ENTESOPATHYOTH,48,0.080 [0.061-0.10],1.034e-11,***,Other enthesopathies,Musculoskeletal
J10_PLEURA,140,0.080 [0.068-0.09],3.152e-35,***,Other diseases of pleura,Respiratory
C_DIFFICILE_ENTEROCOLITIS,2693,0.080 [0.077-0.08],1.000e-315,***,Enterocolitis due to Clostridium difficile,Infectious and parasitic
N14_PROSTHYPERPLA,3796,0.077 [0.074-0.08],1.000e-315,***,Hyperplasia of prostate,Genitourinary
F5_DEPRESSIO,2165,0.076 [0.070-0.08],3.432e-131,***,Depression,Mental and behavioural
VD_U,43,0.069 [0.047-0.09],9.360e-05,***,Vascular dementia (undefined),Mental and behavioural
F5_DELIRIUM,173,0.062 [0.047-0.08],1.991e-10,***,"Delirium, not induced by alcohol and other psychoactive substances",Mental and behavioural
H7_CHALAZION,671,0.062 [0.058-0.07],4.485e-144,***,Chalazion,Eye and adnexa
J10_ACUTEUPPERINFEC,241,0.062 [0.043-0.08],7.896e-05,***,Acute upper respiratory infections of multiple and unspecified sites,Respiratory
