Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
K11_OTHDISDIG,25,0.527 [0.503-0.55],1.000e-315,***,Other diseases of the digestive system,Digestive
E4_LIPOPROTNAS,242,0.324 [0.298-0.35],3.926e-128,***,"Disorder of lipoprotein metabolism, unspecified",Endocrine and metabolic
E4_HYPERLIPNAS,1251,0.243 [0.225-0.26],2.683e-139,***,"Hyperlipidaemia, other/unspecified",Endocrine and metabolic
E4_METABOLIA,4834,0.220 [0.206-0.23],1.881e-223,***,Metabolic disorders,Endocrine and metabolic
G6_MIGRAINE_WITH_AURA,143,0.204 [0.195-0.21],1.000e-315,***,Migraine with aura,Nervous
E4_FH,518,0.198 [0.177-0.22],7.024e-68,***,Familial hypercholesterolemia,Endocrine and metabolic
MEMLOSS,48,0.191 [0.147-0.23],4.405e-12,***,Memory loss,Mental and behavioural
I9_POSTAMI,149,0.190 [0.154-0.22],7.829e-21,***,Status post-ami,Circulatory
N14_CYSTITIS,693,0.163 [0.146-0.18],2.350e-75,***,Cystitis,Genitourinary
PD_DEMENTIA,12,0.158 [0.107-0.21],3.284e-04,***,Dementia due to Parkinson's disease,Mental and behavioural
AB1_BACT_INTEST_OTH,357,0.141 [0.134-0.15],1.000e-315,***,Other bacterial intestinal infections,Infectious and parasitic
CD2_BENIGN_COLON_NOS,212,0.133 [0.098-0.17],5.178e-08,***,"Benign neoplasm: Colon, unspecified",Neoplasms
H8_NONSUPPNAS,1145,0.131 [0.123-0.14],1.158e-186,***,Nonsuppurative otitis media,Ear and mastoid
J10_BRONCHIECTASIS,2,0.130 [0.090-0.17],2.781e-05,***,Bronchiectasis,Respiratory
E4_LIPOPROT,7076,0.129 [0.119-0.14],3.092e-150,***,Disorders of lipoprotein metabolism and other lipidaemias,Endocrine and metabolic
O15_PRETERM,17,0.127 [0.103-0.15],8.691e-20,***,Preterm labour and delivery,Pregnancy
F5_MENTORG,85,0.119 [0.091-0.15],5.154e-11,***,Other mental disorders due to brain damage and dysfunction and to physical disease,Mental and behavioural
VD_U,43,0.116 [0.091-0.14],2.995e-14,***,Vascular dementia (undefined),Mental and behavioural
K11_INTESTOTH,398,0.109 [0.091-0.13],3.683e-26,***,Other diseases of intestines,Digestive
F5_DELIRIUM,173,0.105 [0.086-0.12],1.116e-21,***,"Delirium, not induced by alcohol and other psychoactive substances",Mental and behavioural
I9_UAP,1483,0.104 [0.092-0.12],1.103e-56,***,Unstable angina pectoris,Circulatory
M13_SHOULDER,206,0.102 [0.070-0.13],9.839e-05,***,Shoulder lesions,Musculoskeletal
G6_NERPLEX,2804,0.100 [0.091-0.11],1.927e-97,***,"Nerve, nerve root and plexus disorders",Nervous
F5_VASCDEM,107,0.094 [0.074-0.11],2.572e-14,***,Vascular dementia,Mental and behavioural
I9_IHD,7725,0.094 [0.087-0.10],8.492e-157,***,"Ischaemic heart disease, wide definition",Circulatory
H7_EYEOTH,57,0.082 [0.069-0.09],1.866e-30,***,Other disorders of eye and adnexa,Eye and adnexa
M13_OTHERJOINT,3314,0.078 [0.069-0.09],5.189e-67,***,Other joint disorders,Musculoskeletal
M13_MENISCUSDERANGEMENTS,937,0.076 [0.066-0.09],2.247e-42,***,Meniscus derangement,Musculoskeletal
M13_SOFTTISSUE,1904,0.075 [0.064-0.08],2.593e-40,***,Soft tissue disorders,Musculoskeletal
H7_CATARACTSENILE,4936,0.074 [0.068-0.08],6.744e-149,***,Senile cataract,Eye and adnexa
M13_THORACISPINEPAIN,151,0.071 [0.063-0.08],1.416e-57,***,Pain in thoracic spine,Musculoskeletal
AB1_INTESTINAL_INFECTIONS,954,0.070 [0.053-0.09],2.876e-10,***,Intestinal infectious diseases,Infectious and parasitic
K11_DISLIVOTH,287,0.069 [0.066-0.07],3.963e-274,***,Other diseases of liver,Digestive
K11_LIVER,812,0.065 [0.061-0.07],5.511e-199,***,Diseases of liver,Digestive
M13_ARTHROPATHIES,7062,0.063 [0.058-0.07],2.514e-113,***,Arthropathies,Musculoskeletal
I9_CHD,6392,0.063 [0.057-0.07],2.606e-84,***,Major coronary heart disease event,Circulatory
E4_ENDOGLAND,63,0.061 [0.043-0.08],1.436e-05,***,Disorders of other endocrine glands,Endocrine and metabolic
I9_ANGINA,5810,0.060 [0.054-0.07],1.474e-78,***,Angina pectoris,Circulatory
CD2_BENIGN_COLORECANI,1443,0.058 [0.048-0.07],4.203e-22,***,"Benign neoplasm of colon, rectum, anus and anal canal",Neoplasms
C_DIFFICILE_ENTEROCOLITIS,2693,0.058 [0.056-0.06],1.000e-315,***,Enterocolitis due to Clostridium difficile,Infectious and parasitic
CD2_NONFOLLICULAR_LYMPHOMA,1094,0.058 [0.055-0.06],3.252e-297,***,Non-follicular lymphoma,Neoplasms
K11_HAEMORR,329,0.057 [0.037-0.08],0.002,**,Haemorrhoids and perianal venous thrombosis,Digestive
H8_MIDDLEMASTOID,2761,0.056 [0.047-0.06],2.329e-27,***,Diseases of middle ear and mastoid,Ear and mastoid
I9_ATHSCLE,3616,0.054 [0.048-0.06],4.421e-67,***,"Atherosclerosis, excluding cerebral and coronary sclerosis",Circulatory
H7_KERATITISOTH,43,0.054 [0.039-0.07],1.184e-07,***,Other keratitis,Eye and adnexa
G6_CARPTU,3264,0.054 [0.048-0.06],8.123e-74,***,Carpal tunnel syndrome,Nervous
I9_CORATHER,8695,0.053 [0.047-0.06],9.916e-80,***,Coronary atherosclerosis,Circulatory
H7_OCUPAIN,174,0.052 [0.046-0.06],1.447e-76,***,Ocular pain,Eye and adnexa
N14_CHRONKIDNEYDIS,1777,0.051 [0.045-0.06],9.150e-57,***,Chronic kidney disease,Genitourinary
AUD,259,0.049 [0.041-0.06],1.892e-34,***,"Alcohol use disorder, ICD-based",Mental and behavioural
H7_CONJUNCTIVITISACUNONATOPIC,214,0.047 [0.037-0.06],1.803e-12,***,"Conjunctivitis (acute, non atopic)",Eye and adnexa
CD2_HODGKIN_LYMPHOMA,268,0.047 [0.045-0.05],1.000e-315,***,"Hodgkin lymphoma, hilmo",Neoplasms
AD_AM,451,0.046 [0.038-0.05],4.912e-26,***,Alzheimer disease (Atypical or mixed),Nervous
N14_CHRONEPHROPATH,18,0.045 [0.034-0.06],9.316e-11,***,Chronic nephritic syndrome,Genitourinary
C3_BILIARY_GALLBLADDER,192,0.044 [0.041-0.05],3.418e-173,***,"Malignant neoplasm of intrahepatic ducts, biliary tract and gallbladder",Neoplasms
K11_PANCOTH,29,0.042 [0.031-0.05],3.365e-07,***,Other diseases of pancreas,Digestive
