Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
J10_BRONCHIECTASIS,2,0.865 [0.823-0.91],1.000e-315,***,Bronchiectasis,Respiratory
K11_OTHFUNC,6,0.165 [0.120-0.21],1.707e-07,***,Other functional intestinal disorders,Digestive
O15_ABORT_MEDICAL,68,0.139 [0.098-0.18],8.796e-06,***,Medical abortion,Pregnancy
N14_FEMALEINFERT,80,0.106 [0.091-0.12],4.354e-35,***,Female infertility,Genitourinary
I9_STR,191,0.093 [0.070-0.12],2.951e-10,***,"Stroke, excluding SAH",Circulatory
G6_PARKINSON,2693,0.084 [0.083-0.08],1.000e-315,***,Parkinson's disease,Nervous
M13_SCIATICA,658,0.080 [0.071-0.09],1.016e-56,***,Sciatica+with lumbago,Musculoskeletal
CD2_BENIGN_MELANOCYTIC_TRUNK,183,0.066 [0.060-0.07],4.964e-92,***,Melanocytic naevi of trunk,Neoplasms
O15_LABOUR_FETAL_STRESS,65,0.063 [0.049-0.08],2.428e-13,***,Labour and delivery complicated by fetal stress [distress],Pregnancy
I9_SEQULAE,126,0.063 [0.049-0.08],8.221e-15,***,Sequelae of cerebrovascular disease,Circulatory
E4_ENDOGLAND,62,0.062 [0.043-0.08],8.636e-05,***,Disorders of other endocrine glands,Endocrine and metabolic
M13_ARTHROSIS_OTH,570,0.062 [0.051-0.07],1.084e-22,***,Other arthrosis,Musculoskeletal
G6_NERPLEX,2804,0.057 [0.051-0.06],5.312e-70,***,"Nerve, nerve root and plexus disorders",Nervous
M13_SOFTTISSUE,1904,0.057 [0.050-0.06],7.807e-54,***,Soft tissue disorders,Musculoskeletal
CD2_BENIGN_OTHERDIGESTIVE,74,0.056 [0.039-0.07],4.176e-05,***,Benign neoplasm of other and ill-defined parts of digestive system,Neoplasms
IPF,3405,0.053 [0.052-0.05],1.000e-315,***,Idiopathic pulmonary fibrosis,Respiratory
O15_PREG_PROLONGED,37,0.053 [0.039-0.07],4.581e-08,***,Prolonged pregnancy,Pregnancy
CD2_BENIGN_THYROID,151,0.049 [0.047-0.05],6.522e-247,***,Benign neoplasm of thyroid gland,Neoplasms
I9_HEARTFAIL,682,0.049 [0.040-0.06],4.260e-26,***,"Heart failure, strict",Circulatory
H8_NONSUPPNAS,1145,0.048 [0.044-0.05],3.910e-121,***,Nonsuppurative otitis media,Ear and mastoid
C3_BILIARY_GALLBLADDER,192,0.047 [0.042-0.05],5.373e-70,***,"Malignant neoplasm of intrahepatic ducts, biliary tract and gallbladder",Neoplasms
APPENDACUT_COMPLIC,251,0.047 [0.037-0.06],1.378e-14,***,"Acute appendicitis, with complications",Digestive
I9_CONDUCTIO,268,0.046 [0.035-0.06],3.028e-12,***,Conduction disorders,Circulatory
M13_INTERVERTEB,3685,0.045 [0.041-0.05],3.948e-91,***,Other intervertebral disc disorders,Musculoskeletal
M13_GANGLION,38,0.044 [0.030-0.06],1.702e-04,***,Ganglion,Musculoskeletal
J10_PLEURPLAGUE,310,0.042 [0.039-0.05],4.450e-161,***,Pleural plaque,Respiratory
O15_PRE_OR_ECLAMPSIA,259,0.041 [0.030-0.05],4.076e-07,***,Pre-eclampsia or eclampsia,Pregnancy
NAFLD,505,0.040 [0.035-0.04],1.750e-64,***,Nonalcoholic fatty liver disease,Digestive
M13_CERVICDISC,530,0.039 [0.033-0.05],5.306e-26,***,Cervical disc disorders,Musculoskeletal
K11_DISLIVOTH,287,0.038 [0.031-0.05],2.016e-21,***,Other diseases of liver,Digestive
CD2_BENIGN_PITUITARY_CRANIPHAR,90,0.038 [0.033-0.04],6.521e-49,***,"Benign neoplasm: Pituitary gland, craniopharyngeal duct",Neoplasms
I9_PAROXTAC,262,0.038 [0.027-0.05],3.245e-06,***,Paroxysmal tachycardia,Circulatory
N14_OTHPENIS,232,0.037 [0.029-0.05],7.018e-14,***,Other disorders of penis,Genitourinary
AB1_INTESTINAL_INFECTIONS,954,0.036 [0.029-0.04],6.775e-16,***,Intestinal infectious diseases,Infectious and parasitic
G6_HYDROCEPH,204,0.036 [0.030-0.04],4.655e-26,***,Hydrocephalus,Nervous
H8_MENIERE,54,0.035 [0.027-0.04],2.105e-12,***,Ménière disease,Ear and mastoid
H8_MIDDLEMASTOID,2761,0.035 [0.032-0.04],8.471e-77,***,Diseases of middle ear and mastoid,Ear and mastoid
G6_MIGRAINE_WITH_AURA,143,0.034 [0.024-0.04],3.639e-06,***,Migraine with aura,Nervous
G6_CARPTU,3265,0.034 [0.030-0.04],1.542e-69,***,Carpal tunnel syndrome,Nervous
I9_VASCINT,15,0.033 [0.025-0.04],2.300e-09,***,Vascular diseases of the intestine,Circulatory
CD2_BENIGN_COLON_NOS,212,0.031 [0.024-0.04],2.276e-12,***,"Benign neoplasm: Colon, unspecified",Neoplasms
PRIM_KNEEARTHROSIS,1523,0.030 [0.025-0.03],6.968e-31,***,"Primary gonarthrosis, bilateral",Musculoskeletal
K11_APPENDACUT,1379,0.029 [0.023-0.04],2.542e-16,***,Acute appendicitis,Digestive
I9_OTHARR,798,0.029 [0.022-0.04],2.173e-12,***,Other arrhythmias,Circulatory
O15_PREG_OTHER_MAT_DISORD,1961,0.029 [0.024-0.03],7.957e-25,***,Other maternal disorders predominantly related to pregnancy,Pregnancy
K11_ORALCYST,104,0.028 [0.020-0.04],1.362e-07,***,"Cysts of oral region, not elsewhere classified",Digestive
PHLEBI_THROMBOP_LOWER_EXTREMITI_UNSPE,25,0.028 [0.023-0.03],1.929e-30,***,"Phlebitis and thrombophlebitis of lower extremities, unspecified, drug-induced",Ear and mastoid
N14_UTER_POLYP,57,0.027 [0.017-0.04],0.023,*,Uterine polyps,Genitourinary
M13_DORSOPATHYOTH,5393,0.026 [0.020-0.03],4.509e-12,***,"Other dorsopathies, not elsewhere classified",Musculoskeletal
I9_PHLETHROMBDVTLOW,3263,0.026 [0.023-0.03],2.692e-79,***,DVT of lower extremities,Circulatory
