Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
N14_CYSTITIS,693,0.458 [0.446-0.47],1.000e-315,***,Cystitis,Genitourinary
N14_URINOTH,1485,0.311 [0.297-0.33],1.000e-315,***,Other diseases of urinary system,Genitourinary
J10_ACUTEUPPERINFEC,241,0.301 [0.259-0.34],5.262e-41,***,Acute upper respiratory infections of multiple and unspecified sites,Respiratory
KRA_PSY_ANYMENTAL,2504,0.290 [0.275-0.31],2.138e-292,***,Any mental disorder,Mental and behavioural
N14_MALEGEN,1375,0.289 [0.276-0.30],1.000e-315,***,Diseases of male genital organs,Genitourinary
K11_OTHDISDIG,25,0.250 [0.216-0.28],2.087e-40,***,Other diseases of the digestive system,Digestive
J10_INFLUPNEU,534,0.249 [0.229-0.27],1.143e-126,***,Influenza and pneumonia,Respiratory
J10_UPPERINFEC,1002,0.227 [0.208-0.25],4.217e-111,***,Acute upper respiratory infections,Respiratory
E4_HYPERLIPMIX,365,0.211 [0.179-0.24],8.295e-33,***,Mixed hyperlipidaemia,Endocrine and metabolic
AB1_OTHER_BACTERIAL,478,0.185 [0.159-0.21],1.017e-38,***,Other bacterial diseases,Infectious and parasitic
N14_PROSTHYPERPLA,3795,0.163 [0.157-0.17],1.000e-315,***,Hyperplasia of prostate,Genitourinary
F5_DEPRESSIO,2165,0.146 [0.136-0.16],3.307e-194,***,Depression,Mental and behavioural
H7_CHALAZION,671,0.130 [0.123-0.14],1.000e-315,***,Chalazion,Eye and adnexa
AB1_BACT_INTEST_OTH,357,0.126 [0.118-0.13],3.240e-226,***,Other bacterial intestinal infections,Infectious and parasitic
H8_EXTERNAL,828,0.112 [0.106-0.12],1.763e-259,***,Diseases of external ear,Ear and mastoid
M13_HAMMERTOE,331,0.107 [0.091-0.12],1.820e-32,***,Other hammer toe(s) (acquired),Musculoskeletal
L12_DISORDSKINAPPENDIX,424,0.105 [0.093-0.12],1.234e-58,***,Disorders of skin appendages,Skin
L12_INFECT_SKIN,518,0.096 [0.084-0.11],1.014e-50,***,Infections of the skin and subcutaneous tissue,Skin
M13_SYNOTEND,1267,0.096 [0.086-0.11],1.317e-77,***,Disorders of synovium and tendon,Musculoskeletal
O15_PREG_OTHER_MAT_DISORD,1961,0.095 [0.085-0.10],6.438e-76,***,Other maternal disorders predominantly related to pregnancy,Pregnancy
C_DIFFICILE_ENTEROCOLITIS,2693,0.095 [0.092-0.10],1.000e-315,***,Enterocolitis due to Clostridium difficile,Infectious and parasitic
J10_UPPERDIS,4085,0.094 [0.085-0.10],3.367e-89,***,Other diseases of upper respiratory tract,Respiratory
N14_MENSIRREG,59,0.094 [0.076-0.11],8.299e-21,***,Irregular menses,Genitourinary
M13_ENTESOPATHYOTH,48,0.083 [0.064-0.10],3.413e-11,***,Other enthesopathies,Musculoskeletal
AB1_VIRAL_OTHER_INTEST_INFECTIONS,985,0.083 [0.075-0.09],1.186e-101,***,Viral and other specified intestinal infections,Infectious and parasitic
FALLS,542,0.080 [0.056-0.10],3.778e-05,***,Falls/tendency to fall,Nervous
N14_CHRONEPHROPATH,18,0.078 [0.067-0.09],7.461e-36,***,Chronic nephritic syndrome,Genitourinary
F5_ANXIETY,71,0.076 [0.057-0.10],8.181e-09,***,Other anxiety disorders,Mental and behavioural
J10_SEPTDEV,498,0.073 [0.058-0.09],5.531e-17,***,Deviated nasal septum,Respiratory
N14_ABNORMALBLEED,19,0.071 [0.046-0.10],0.013,*,Other abnormal uterine and vaginal bleeding,Genitourinary
J10_CHRONTONSADEN,5827,0.068 [0.064-0.07],7.939e-177,***,Chronic diseases of tonsils and adenoids,Respiratory
N14_OVARYCYST,986,0.068 [0.063-0.07],3.771e-168,***,Ovarian cyst,Genitourinary
K11_INTESTOTH,398,0.067 [0.052-0.08],1.352e-14,***,Other diseases of intestines,Digestive
