Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
N14_CYSTITIS,693,0.654 [0.631-0.68],1.000e-315,***,Cystitis,Genitourinary
N14_URINOTH,1485,0.394 [0.367-0.42],1.301e-175,***,Other diseases of urinary system,Genitourinary
KRA_PSY_ANYMENTAL,2504,0.346 [0.330-0.36],1.000e-315,***,Any mental disorder,Mental and behavioural
N14_MALEGEN,1375,0.328 [0.313-0.34],1.000e-315,***,Diseases of male genital organs,Genitourinary
J10_ACUTEUPPERINFEC,241,0.240 [0.196-0.28],1.242e-21,***,Acute upper respiratory infections of multiple and unspecified sites,Respiratory
AB1_BACT_INTEST_OTH,357,0.227 [0.220-0.23],1.000e-315,***,Other bacterial intestinal infections,Infectious and parasitic
F5_DEMINOTH,8,0.223 [0.208-0.24],3.450e-189,***,Dementia in other diseases classified elsewhere,Mental and behavioural
G6_DEGENOTH,14,0.205 [0.188-0.22],2.766e-120,***,Other and unspecified degenerative diseases of nervous system,Nervous
J10_INFLUPNEU,534,0.196 [0.177-0.21],3.956e-88,***,Influenza and pneumonia,Respiratory
E4_HYPERLIPMIX,365,0.194 [0.162-0.23],1.862e-27,***,Mixed hyperlipidaemia,Endocrine and metabolic
K11_OTHDISDIG,25,0.191 [0.166-0.22],2.629e-46,***,Other diseases of the digestive system,Digestive
MEMLOSS,48,0.186 [0.155-0.22],6.025e-28,***,Memory loss,Mental and behavioural
J10_UPPERINFEC,1002,0.179 [0.156-0.20],1.102e-47,***,Acute upper respiratory infections,Respiratory
N14_PROSTHYPERPLA,3794,0.179 [0.172-0.19],1.000e-315,***,Hyperplasia of prostate,Genitourinary
F5_DEPRESSIO,2165,0.154 [0.143-0.16],1.010e-171,***,Depression,Mental and behavioural
H7_CHALAZION,671,0.153 [0.146-0.16],1.000e-315,***,Chalazion,Eye and adnexa
C_DIFFICILE_ENTEROCOLITIS,2693,0.149 [0.145-0.15],1.000e-315,***,Enterocolitis due to Clostridium difficile,Infectious and parasitic
VD_U,43,0.131 [0.114-0.15],5.494e-45,***,Vascular dementia (undefined),Mental and behavioural
F5_DELIRIUM,173,0.122 [0.104-0.14],1.909e-35,***,"Delirium, not induced by alcohol and other psychoactive substances",Mental and behavioural
M13_HAMMERTOE,331,0.121 [0.099-0.14],1.569e-22,***,Other hammer toe(s) (acquired),Musculoskeletal
F5_MENTORG,85,0.119 [0.083-0.15],2.357e-05,***,Other mental disorders due to brain damage and dysfunction and to physical disease,Mental and behavioural
N14_CHRONEPHROPATH,18,0.117 [0.106-0.13],3.133e-90,***,Chronic nephritic syndrome,Genitourinary
M13_SYNOTEND,1267,0.101 [0.091-0.11],2.106e-95,***,Disorders of synovium and tendon,Musculoskeletal
O15_PREG_OTHER_MAT_DISORD,1961,0.095 [0.084-0.10],1.057e-69,***,Other maternal disorders predominantly related to pregnancy,Pregnancy
AB1_OTHER_BACTERIAL,478,0.094 [0.065-0.12],6.248e-05,***,Other bacterial diseases,Infectious and parasitic
F5_VASCDEM,107,0.094 [0.069-0.12],2.761e-08,***,Vascular dementia,Mental and behavioural
L12_INFECT_SKIN,518,0.093 [0.076-0.11],1.719e-21,***,Infections of the skin and subcutaneous tissue,Skin
L12_DISORDSKINAPPENDIX,424,0.091 [0.075-0.11],6.698e-21,***,Disorders of skin appendages,Skin
E4_LIPOPROT,7076,0.089 [0.074-0.10],1.325e-25,***,Disorders of lipoprotein metabolism and other lipidaemias,Endocrine and metabolic
M13_SOFTTISSUEOTH,600,0.088 [0.066-0.11],2.023e-09,***,"Other soft tissue disorders, not elsewhere classified",Musculoskeletal
J10_SEPTDEV,498,0.086 [0.069-0.10],1.367e-16,***,Deviated nasal septum,Respiratory
K11_FISTULA,485,0.085 [0.081-0.09],1.000e-315,***,Colonic or urogenital fistula,Digestive
M13_HALLUXVALGUS,3980,0.083 [0.077-0.09],4.140e-154,***,Hallux valgus (acquired),Musculoskeletal
E4_HYPERLIPNAS,1251,0.083 [0.056-0.11],3.123e-04,***,"Hyperlipidaemia, other/unspecified",Endocrine and metabolic
H8_EXTERNAL,828,0.082 [0.075-0.09],1.689e-130,***,Diseases of external ear,Ear and mastoid
AB1_VIRAL_OTHER_INTEST_INFECTIONS,985,0.076 [0.068-0.08],4.326e-63,***,Viral and other specified intestinal infections,Infectious and parasitic
K11_INTESTOTH,398,0.076 [0.061-0.09],4.534e-19,***,Other diseases of intestines,Digestive
J10_UPPERDIS,4085,0.073 [0.063-0.08],5.172e-44,***,Other diseases of upper respiratory tract,Respiratory
N14_MENSIRREG,59,0.073 [0.056-0.09],5.132e-12,***,Irregular menses,Genitourinary
J10_CHRONTONSADEN,5827,0.072 [0.068-0.08],1.190e-213,***,Chronic diseases of tonsils and adenoids,Respiratory
I9_POSTAMI,149,0.069 [0.051-0.09],6.104e-09,***,Status post-ami,Circulatory
CD2_BENIGN_MELANOCYTIC_TRUNK,183,0.067 [0.061-0.07],8.629e-109,***,Melanocytic naevi of trunk,Neoplasms
M13_RADICULOPATHY,15,0.061 [0.039-0.08],0.011,*,Radiculopathy,Musculoskeletal
J10_PLEURA,140,0.060 [0.048-0.07],5.323e-17,***,Other diseases of pleura,Respiratory
N14_OVARYCYST,985,0.059 [0.055-0.06],1.512e-135,***,Ovarian cyst,Genitourinary
E4_METABOLIA,4834,0.059 [0.038-0.08],0.006,**,Metabolic disorders,Endocrine and metabolic
N14_FEMALEGENNONINF,279,0.058 [0.043-0.07],8.666e-08,***,Noninflammatory disorders of female genital tract,Genitourinary
H7_PARASTRAB,7,0.055 [0.034-0.07],0.028,*,Paralytic strabismus,Eye and adnexa
L12_FOLICULAROTH,12,0.050 [0.034-0.07],1.007e-04,***,Other follicular disorders,Skin
AD_AM,451,0.048 [0.041-0.06],2.410e-28,***,Alzheimer disease (Atypical or mixed),Nervous
NEURODEGOTH,4178,0.047 [0.043-0.05],1.525e-96,***,Other degenerative diseases of the nervous system,Nervous
N14_ORHCEPINDIDYMITIS,99,0.047 [0.032-0.06],1.207e-04,***,Orchitis and epididymitis,Genitourinary
H8_EXTOTITIS,1164,0.046 [0.038-0.05],6.429e-25,***,Otitis externa,Ear and mastoid
I9_HEARTFAIL,682,0.045 [0.034-0.06],4.922e-11,***,"Heart failure, strict",Circulatory
K11_HERNIA,6152,0.044 [0.039-0.05],1.997e-65,***,Hernia,Digestive
CD2_BENIGN_MELANOCYTIC,521,0.042 [0.032-0.05],7.279e-11,***,Melanocytic naevi,Neoplasms
H8_NONSUPPNAS,1145,0.042 [0.037-0.05],6.435e-54,***,Nonsuppurative otitis media,Ear and mastoid
L12_CORNSANDCALLOS,491,0.042 [0.038-0.05],8.297e-79,***,Corns and callosities,Skin
N14_PHIMOSIS,4306,0.042 [0.039-0.04],6.608e-158,***,"Redundant prepuce, phimosis and paraphimosis",Genitourinary
J10_PLEURPLAGUE,310,0.040 [0.037-0.04],2.187e-148,***,Pleural plaque,Respiratory
KRA_PSY_DEMENTIA,2863,0.039 [0.036-0.04],5.709e-98,***,Any dementia,Mental and behavioural
G6_NEURODEGENERATIVE,4070,0.039 [0.036-0.04],1.443e-113,***,Unspecific neurodegenerative disorder,Nervous
CD2_BENIGN_THYROID,151,0.039 [0.036-0.04],2.978e-158,***,Benign neoplasm of thyroid gland,Neoplasms
F5_DEMENTIA,3309,0.038 [0.035-0.04],1.447e-105,***,Dementia,Mental and behavioural
L12_ABSCESS_CUT,66,0.036 [0.023-0.05],0.046,*,"Cutaneous abscess, furuncle and carbuncle",Skin
CD2_FOLLICULAR_LYMPHOMA,5808,0.035 [0.034-0.04],1.000e-315,***,"Follicular lymphoma, hilmo",Neoplasms
M13_POLYARTHRITIS,1672,0.035 [0.032-0.04],1.034e-90,***,"Polyarthritis, unspecified",Musculoskeletal
CD2_LYMPHOID_LEUKAEMIA,767,0.035 [0.032-0.04],5.642e-104,***,Lymphoid leukaemia,Neoplasms
L12_ROSACEANAS,82,0.034 [0.028-0.04],4.023e-19,***,Other and unspecified rosacea,Skin
J10_PNEUMOTHORAX,46,0.034 [0.026-0.04],5.180e-12,***,Pneumothorax,Respiratory
COPD_EARLY,512,0.034 [0.031-0.04],1.525e-132,***,Early onset COPD,Respiratory
CD2_BENIGN_OVARY,144,0.033 [0.026-0.04],2.545e-15,***,Benign neoplasm of ovary,Neoplasms
N14_CALCUKIDUR,1321,0.033 [0.029-0.04],7.161e-49,***,Calculus of kidney and ureter,Genitourinary
F5_ALZHDEMENT,2076,0.033 [0.029-0.04],5.030e-86,***,Dementia in Alzheimer disease,Mental and behavioural
