Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
HDL-FC,1.26 [1.03-1.54],1.000,,Free Cholesterol in HDL
SFA,1.23 [1.00-1.51],1.000,,Saturated Fatty Acids
Total-FA,1.16 [0.94-1.43],1.000,,Total-Fatty Acids
Citrate,1.04 [0.85-1.27],1.000,,Citrate
M-LDL-PL%,1.02 [0.84-1.23],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
LDL-C,0.95 [0.77-1.17],1.000,,LDL Cholesterol
Non-HDL-C,0.94 [0.77-1.16],1.000,,Total-Cholesterol Minus HDL-C
Remnant-C,0.93 [0.76-1.15],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Clinical LDL-C,0.90 [0.74-1.11],1.000,,Clinical LDL Cholesterol
M-LDL-FC%,0.82 [0.67-1.01],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
