Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,1.62 [1.35-1.96],0.085,,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-HDL-PL%,1.58 [1.32-1.89],0.111,,Phospholipids to Total-Lipids in Medium HDL percentage
IDL-TG%,1.56 [1.30-1.87],0.262,,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.53 [1.28-1.83],0.638,,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-PL%,1.02 [0.84-1.24],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
LDL-CE,0.81 [0.67-0.98],1.000,,Cholesteryl Esters in LDL
Total-CE,0.72 [0.60-0.86],1.000,,Total-Esterified Cholesterol
IDL-CE%,0.66 [0.56-0.77],0.079,,Cholesteryl Esters to Total-Lipids in IDL percentage
M-HDL-C%,0.66 [0.55-0.78],0.319,,Cholesterol to Total-Lipids in Medium HDL percentage
IDL-C%,0.65 [0.56-0.76],0.015,*,Cholesterol to Total-Lipids in IDL percentage
