Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.23 [1.03-1.46],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
S-HDL-PL%,1.22 [1.01-1.47],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
S-HDL-TG%,1.16 [0.96-1.41],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
M-VLDL-TG%,1.14 [0.95-1.37],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
S-LDL-CE%,1.03 [0.85-1.23],1.000,,Cholesteryl Esters to Total-Lipids in Small LDL percentage
M-LDL-PL%,0.96 [0.80-1.15],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
M-VLDL-FC%,0.90 [0.76-1.06],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-LDL-FC%,0.90 [0.75-1.07],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-CE%,0.89 [0.76-1.04],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,0.88 [0.75-1.04],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
