Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.18 [1.09-1.28],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Omega-6/Omega-3,1.05 [0.97-1.15],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Total-BCAA,1.01 [0.93-1.10],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Leu,1.01 [0.93-1.10],1.000,,Leucine
Val,1.00 [0.92-1.09],1.000,,Valine
Remnant-C,0.94 [0.86-1.02],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Non-HDL-C,0.93 [0.86-1.01],1.000,,Total-Cholesterol Minus HDL-C
Total-C,0.92 [0.85-1.00],1.000,,Total-Cholesterol
M-LDL-FC%,0.86 [0.79-0.93],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
XL-VLDL-CE%,0.81 [0.74-0.89],0.810,,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
