Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-TG%,1.13 [1.01-1.25],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
M-LDL-TG%,1.11 [1.00-1.23],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-LDL-CE%,1.06 [0.96-1.18],1.000,,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
Leu,1.01 [0.91-1.13],1.000,,Leucine
VLDL-C,1.01 [0.91-1.11],1.000,,VLDL Cholesterol
LDL-CE,0.95 [0.86-1.05],1.000,,Cholesteryl Esters in LDL
Remnant-C,0.95 [0.86-1.05],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Total-C,0.91 [0.82-1.02],1.000,,Total-Cholesterol
HDL-CE,0.89 [0.80-1.00],1.000,,Cholesteryl Esters in HDL
M-LDL-FC%,0.85 [0.77-0.95],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
