Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.07 [1.00-1.14],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-VLDL-TG%,1.07 [0.99-1.14],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
S-LDL-TG%,1.05 [0.98-1.13],1.000,,Triglycerides to Total-Lipids in Small LDL percentage
S-HDL-TG%,1.05 [0.97-1.12],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
S-LDL-PL%,1.02 [0.95-1.09],1.000,,Phospholipids to Total-Lipids in Small LDL percentage
M-LDL-PL%,1.00 [0.93-1.07],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
M-VLDL-CE%,0.94 [0.88-1.01],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-FC%,0.94 [0.88-1.00],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,0.94 [0.88-1.00],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
M-LDL-FC%,0.93 [0.87-1.00],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
