Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
MUFA%,1.60 [1.34-1.91],0.068,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-VLDL-TG%,1.40 [1.17-1.68],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
M-LDL-TG%,1.34 [1.14-1.58],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
S-HDL-PL%,1.02 [0.86-1.22],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
S-LDL-CE%,1.00 [0.84-1.20],1.000,,Cholesteryl Esters to Total-Lipids in Small LDL percentage
XS-VLDL-C%,0.70 [0.60-0.81],0.717,,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,0.70 [0.60-0.81],0.365,,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
PUFA%,0.69 [0.59-0.80],0.538,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
Unsaturation,0.66 [0.56-0.79],0.604,,Degree of Unsaturation
PUFA/MUFA,0.63 [0.53-0.76],0.088,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
