Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-HDL-PL%,1.42 [1.22-1.65],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
M-LDL-TG%,1.40 [1.21-1.62],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-VLDL-TG%,1.33 [1.14-1.56],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
M-LDL-PL%,1.05 [0.90-1.22],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
S-HDL-TG%,1.01 [0.86-1.18],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
S-VLDL-CE%,0.71 [0.62-0.81],0.190,,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
S-LDL-C%,0.70 [0.62-0.81],0.083,,Cholesterol to Total-Lipids in Small LDL percentage
S-VLDL-C%,0.70 [0.61-0.81],0.237,,Cholesterol to Total-Lipids in Small VLDL percentage
S-LDL-FC,0.68 [0.58-0.80],0.475,,Free Cholesterol in Small LDL
M-LDL-P,0.68 [0.57-0.80],0.943,,Concentration of Medium LDL Particles
