Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-VLDL-C%,1.17 [0.96-1.42],1.000,,Cholesterol to Total-Lipids in Large VLDL percentage
L-VLDL-CE%,1.13 [0.93-1.38],1.000,,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
L-LDL-TG%,1.08 [0.89-1.32],1.000,,Triglycerides to Total-Lipids in Large LDL percentage
L-LDL-PL%,1.03 [0.85-1.25],1.000,,Phospholipids to Total-Lipids in Large LDL percentage
M-LDL-FC%,1.03 [0.84-1.27],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-LDL-PL%,0.98 [0.81-1.19],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
DHA%,0.96 [0.79-1.17],1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
PUFA/MUFA,0.94 [0.77-1.16],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
LA%,0.91 [0.74-1.11],1.000,,Linoleic Acid to Total-Fatty Acids percentage
Omega-3%,0.87 [0.72-1.06],1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
