Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
HDL-CE,1.30 [1.07-1.57],1.000,,Cholesteryl Esters in HDL
M-LDL-FC%,1.27 [1.02-1.59],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Total-CE,1.19 [0.98-1.45],1.000,,Total-Esterified Cholesterol
Total-C,1.18 [0.97-1.43],1.000,,Total-Cholesterol
LDL-CE,1.10 [0.91-1.33],1.000,,Cholesteryl Esters in LDL
Leu,0.99 [0.81-1.20],1.000,,Leucine
Gln,0.96 [0.79-1.16],1.000,,Glutamine
ApoB/ApoA1,0.92 [0.76-1.11],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
Ala,0.91 [0.74-1.10],1.000,,Alanine
M-LDL-TG%,0.81 [0.66-1.00],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
