Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
Creatinine,1.64 [1.52-1.77],2.367e-29,***,Creatinine
XS-VLDL-TG%,1.25 [1.15-1.36],0.121,,Triglycerides to Total-Lipids in Very Small VLDL percentage
TG/PG,1.24 [1.13-1.35],0.373,,Triglycerides to Phosphoglycerides ratio
IDL-TG%,1.22 [1.12-1.33],0.795,,Triglycerides to Total-Lipids in IDL percentage
M-LDL-TG%,1.16 [1.07-1.27],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-VLDL-CE%,0.83 [0.77-0.89],0.138,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,0.82 [0.76-0.89],0.223,,Cholesterol to Total-Lipids in Medium VLDL percentage
HDL-C,0.80 [0.73-0.88],0.739,,HDL Cholesterol
XS-VLDL-C%,0.79 [0.73-0.86],0.003,**,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,0.78 [0.72-0.85],3.506e-04,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
