Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-VLDL-TG%,1.30 [1.11-1.52],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
M-LDL-TG%,1.25 [1.08-1.45],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
S-HDL-TG%,1.13 [0.96-1.32],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
M-LDL-PL%,1.05 [0.90-1.22],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
S-HDL-PL%,1.02 [0.87-1.19],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
M-LDL-FC%,0.85 [0.73-0.98],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-PL%,0.76 [0.66-0.87],1.000,,Phospholipids to Total-Lipids in Medium VLDL percentage
IDL-L,0.70 [0.60-0.82],0.810,,Total-Lipids in IDL
IDL-C,0.69 [0.60-0.81],0.490,,Cholesterol in IDL
IDL-CE,0.69 [0.60-0.81],0.535,,Cholesteryl Esters in IDL
