Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
Ile,1.10 [0.92-1.32],1.000,,Isoleucine
PUFA/MUFA,1.05 [0.86-1.29],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-LDL-FC%,1.05 [0.86-1.28],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Total-BCAA,1.02 [0.84-1.23],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Leu,1.02 [0.84-1.23],1.000,,Leucine
M-LDL-TG%,0.99 [0.81-1.19],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Remnant-C,0.97 [0.80-1.16],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
VLDL-C,0.95 [0.78-1.15],1.000,,VLDL Cholesterol
Total-C,0.92 [0.77-1.11],1.000,,Total-Cholesterol
Non-HDL-C,0.92 [0.77-1.11],1.000,,Total-Cholesterol Minus HDL-C
