Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
MUFA%,1.21 [1.12-1.32],0.889,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-TG%,1.17 [1.08-1.26],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
S-HDL-TG%,1.16 [1.07-1.26],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
M-VLDL-TG%,1.10 [1.01-1.19],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
M-LDL-PL%,1.05 [0.97-1.13],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
L-LDL-C%,0.83 [0.77-0.89],0.125,,Cholesterol to Total-Lipids in Large LDL percentage
M-HDL-FC%,0.82 [0.76-0.89],0.118,,Free Cholesterol to Total-Lipids in Medium HDL percentage
Unsaturation,0.82 [0.75-0.88],0.104,,Degree of Unsaturation
DHA%,0.81 [0.75-0.88],0.114,,Docosahexaenoic Acid to Total-Fatty Acids percentage
DHA,0.80 [0.73-0.87],0.033,*,Docosahexaenoic Acid
