Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-CE%,1.15 [0.94-1.39],1.000,,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
M-HDL-PL%,1.09 [0.89-1.33],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
M-LDL-C%,1.07 [0.88-1.30],1.000,,Cholesterol to Total-Lipids in Medium LDL percentage
M-HDL-TG%,1.05 [0.86-1.29],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
M-VLDL-C%,1.05 [0.86-1.27],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
Omega-3,0.99 [0.81-1.20],1.000,,Omega-3 Fatty Acids
DHA,0.93 [0.77-1.14],1.000,,Docosahexaenoic Acid
M-LDL-FC%,0.93 [0.77-1.13],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Omega-6%,0.93 [0.76-1.12],1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
PUFA%,0.91 [0.75-1.10],1.000,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
