Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.15 [1.02-1.30],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Val,1.03 [0.91-1.16],1.000,,Valine
Total-BCAA,1.02 [0.90-1.15],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Leu,1.02 [0.90-1.15],1.000,,Leucine
VLDL-C,1.01 [0.90-1.13],1.000,,VLDL Cholesterol
VLDL-CE,0.99 [0.89-1.12],1.000,,Cholesteryl Esters in VLDL
LDL-CE,0.97 [0.86-1.09],1.000,,Cholesteryl Esters in LDL
Total-CE,0.92 [0.82-1.05],1.000,,Total-Esterified Cholesterol
HDL-CE,0.89 [0.78-1.01],1.000,,Cholesteryl Esters in HDL
M-LDL-FC%,0.83 [0.74-0.94],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
