Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
His,1.13 [1.03-1.23],1.000,,Histidine
M-LDL-PL%,1.10 [1.00-1.20],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Tyr,1.06 [0.97-1.15],1.000,,Tyrosine
Ile,1.05 [0.96-1.15],1.000,,Isoleucine
Gly,1.04 [0.96-1.13],1.000,,Glycine
VLDL-CE,0.96 [0.88-1.05],1.000,,Cholesteryl Esters in VLDL
M-LDL-FC%,0.93 [0.85-1.03],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
LDL-CE,0.92 [0.85-1.01],1.000,,Cholesteryl Esters in LDL
Total-CE,0.87 [0.80-0.96],1.000,,Total-Esterified Cholesterol
HDL-CE,0.83 [0.75-0.92],1.000,,Cholesteryl Esters in HDL
