Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
GlycA,1.31 [1.18-1.46],0.299,,Glycoprotein Acetyls
M-LDL-TG%,1.16 [1.04-1.28],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Phe,1.07 [0.97-1.19],1.000,,Phenylalanine
Omega-6/Omega-3,1.07 [0.96-1.19],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
ApoB/ApoA1,1.02 [0.92-1.13],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
VLDL-C,0.99 [0.90-1.10],1.000,,VLDL Cholesterol
Remnant-C,0.95 [0.86-1.05],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Non-HDL-C,0.93 [0.84-1.03],1.000,,Total-Cholesterol Minus HDL-C
Total-C,0.90 [0.81-1.00],1.000,,Total-Cholesterol
M-LDL-FC%,0.89 [0.80-1.00],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
