Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
TG/PG,1.07 [0.93-1.24],1.000,,Triglycerides to Phosphoglycerides ratio
IDL-TG%,1.07 [0.93-1.23],1.000,,Triglycerides to Total-Lipids in IDL percentage
IDL-PL%,1.06 [0.93-1.20],1.000,,Phospholipids to Total-Lipids in IDL percentage
IDL-FC%,1.01 [0.88-1.16],1.000,,Free Cholesterol to Total-Lipids in IDL percentage
M-LDL-PL%,1.01 [0.88-1.14],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Omega-6/Omega-3,1.00 [0.87-1.15],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
VLDL-CE,0.95 [0.83-1.08],1.000,,Cholesteryl Esters in VLDL
M-LDL-FC%,0.94 [0.81-1.08],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
LDL-CE,0.85 [0.74-0.97],1.000,,Cholesteryl Esters in LDL
Total-CE,0.82 [0.72-0.94],1.000,,Total-Esterified Cholesterol
