Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.13 [1.03-1.25],1.000,,Triglycerides to Total-Lipids in IDL percentage
L-HDL-PL%,1.12 [1.01-1.24],1.000,,Phospholipids to Total-Lipids in Large HDL percentage
M-LDL-PL%,1.09 [0.99-1.19],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
L-LDL-PL%,1.04 [0.95-1.14],1.000,,Phospholipids to Total-Lipids in Large LDL percentage
L-HDL-TG%,1.02 [0.92-1.13],1.000,,Triglycerides to Total-Lipids in Large HDL percentage
M-LDL-FC%,0.96 [0.87-1.06],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
VLDL-C,0.91 [0.83-1.00],1.000,,VLDL Cholesterol
HDL-CE,0.88 [0.80-0.98],1.000,,Cholesteryl Esters in HDL
Remnant-C,0.88 [0.80-0.96],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Total-C,0.85 [0.77-0.93],1.000,,Total-Cholesterol
