Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-PL%,1.19 [1.05-1.36],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
L-VLDL-PL%,1.10 [0.97-1.25],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
L-VLDL-FC%,1.05 [0.94-1.18],1.000,,Free Cholesterol to Total-Lipids in Large VLDL percentage
M-LDL-PL%,1.03 [0.91-1.16],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
L-VLDL-C%,1.01 [0.89-1.14],1.000,,Cholesterol to Total-Lipids in Large VLDL percentage
VLDL-C,0.99 [0.88-1.12],1.000,,VLDL Cholesterol
M-LDL-FC%,0.90 [0.79-1.03],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
LDL-CE,0.90 [0.79-1.02],1.000,,Cholesteryl Esters in LDL
Total-CE,0.85 [0.75-0.97],1.000,,Total-Esterified Cholesterol
HDL-CE,0.80 [0.70-0.92],1.000,,Cholesteryl Esters in HDL
