Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
Ile,1.06 [1.02-1.11],1.000,,Isoleucine
Tyr,1.06 [1.02-1.11],1.000,,Tyrosine
Leu,1.06 [1.01-1.11],1.000,,Leucine
Phe,1.05 [1.00-1.09],1.000,,Phenylalanine
M-LDL-PL%,1.03 [0.99-1.08],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
VLDL-C,0.98 [0.93-1.02],1.000,,VLDL Cholesterol
LDL-CE,0.95 [0.91-1.00],1.000,,Cholesteryl Esters in LDL
HDL-CE,0.95 [0.90-0.99],1.000,,Cholesteryl Esters in HDL
M-LDL-FC%,0.94 [0.90-0.99],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Total-CE,0.94 [0.89-0.98],1.000,,Total-Esterified Cholesterol
