Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
Citrate,1.39 [1.30-1.50],9.296e-15,***,Citrate
XS-VLDL-PL%,1.26 [1.16-1.36],0.003,**,Phospholipids to Total-Lipids in Very Small VLDL percentage
Gln,1.24 [1.14-1.34],0.032,*,Glutamine
M-LDL-PL%,1.02 [0.95-1.10],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
L-VLDL-FC%,1.01 [0.94-1.09],1.000,,Free Cholesterol to Total-Lipids in Large VLDL percentage
M-LDL-FC%,0.95 [0.88-1.03],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
LDL-C,0.89 [0.82-0.96],1.000,,LDL Cholesterol
Non-HDL-C,0.88 [0.82-0.95],1.000,,Total-Cholesterol Minus HDL-C
HDL-C,0.87 [0.79-0.94],1.000,,HDL Cholesterol
IDL-CE%,0.83 [0.77-0.89],0.311,,Cholesteryl Esters to Total-Lipids in IDL percentage
