Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
ApoB/ApoA1,1.31 [1.09-1.58],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
ApoB,1.30 [1.07-1.57],1.000,,Apolipoprotein B
Total-BCAA,1.17 [0.98-1.39],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Val,1.13 [0.94-1.35],1.000,,Valine
M-LDL-PL%,1.01 [0.85-1.20],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
SFA%,0.95 [0.78-1.15],1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
LA%,0.88 [0.71-1.09],1.000,,Linoleic Acid to Total-Fatty Acids percentage
PUFA%,0.86 [0.70-1.05],1.000,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
Omega-6%,0.79 [0.65-0.97],1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
M-LDL-FC%,0.79 [0.66-0.94],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
