Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-HDL-PL%,1.28 [1.16-1.42],0.703,,Phospholipids to Total-Lipids in Large HDL percentage
M-LDL-TG%,1.19 [1.09-1.31],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Glu,1.14 [1.03-1.26],1.000,,Glucose
HDL-FC,1.08 [0.97-1.19],1.000,,Free Cholesterol in HDL
Creatinine,1.07 [0.96-1.21],1.000,,Creatinine
VLDL-C,0.97 [0.88-1.06],1.000,,VLDL Cholesterol
Total-C,0.96 [0.87-1.06],1.000,,Total-Cholesterol
Remnant-C,0.95 [0.87-1.05],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
LDL-CE,0.94 [0.86-1.03],1.000,,Cholesteryl Esters in LDL
M-LDL-FC%,0.88 [0.80-0.98],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
