Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.12 [1.04-1.20],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
MUFA,1.06 [0.99-1.14],1.000,,Monounsaturated Fatty Acids
SFA,1.05 [0.98-1.13],1.000,,Saturated Fatty Acids
Omega-3,1.04 [0.97-1.11],1.000,,Omega-3 Fatty Acids
PUFA,1.00 [0.94-1.08],1.000,,Polyunsaturated Fatty Acids
LDL-CE,0.97 [0.91-1.04],1.000,,Cholesteryl Esters in LDL
Total-CE,0.97 [0.90-1.04],1.000,,Total-Esterified Cholesterol
Omega-6/Omega-3,0.97 [0.90-1.04],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
M-LDL-FC%,0.91 [0.84-0.98],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
PUFA/MUFA,0.91 [0.84-0.98],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
