Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
ApoB/ApoA1,1.17 [1.06-1.29],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
ApoB,1.06 [0.96-1.16],1.000,,Apolipoprotein B
M-LDL-PL%,1.04 [0.94-1.14],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Clinical LDL-C,1.03 [0.93-1.14],1.000,,Clinical LDL Cholesterol
Total-BCAA,1.00 [0.91-1.10],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Total-FA,0.99 [0.89-1.09],1.000,,Total-Fatty Acids
SFA,0.99 [0.89-1.09],1.000,,Saturated Fatty Acids
M-LDL-FC%,0.96 [0.87-1.07],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Unsaturation,0.91 [0.81-1.01],1.000,,Degree of Unsaturation
Albumin,0.90 [0.82-0.99],1.000,,Albumin
