Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
Omega-6/Omega-3,1.09 [0.92-1.30],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
DHA%,1.09 [0.91-1.30],1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
M-LDL-FC%,1.07 [0.90-1.26],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
VLDL-CE,1.05 [0.89-1.25],1.000,,Cholesteryl Esters in VLDL
VLDL-C,1.03 [0.87-1.22],1.000,,VLDL Cholesterol
M-LDL-PL%,1.00 [0.84-1.19],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Omega-6%,0.99 [0.84-1.18],1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
PUFA%,0.97 [0.82-1.15],1.000,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
MUFA,0.94 [0.79-1.11],1.000,,Monounsaturated Fatty Acids
LA,0.89 [0.75-1.05],1.000,,Linoleic Acid
