Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-PL%,1.07 [0.97-1.18],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
His,1.04 [0.94-1.14],1.000,,Histidine
ApoB/ApoA1,1.03 [0.94-1.14],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
VLDL-C,1.02 [0.93-1.12],1.000,,VLDL Cholesterol
ApoB,1.01 [0.92-1.11],1.000,,Apolipoprotein B
LDL-FC,0.98 [0.89-1.08],1.000,,Free Cholesterol in LDL
Total-FC,0.98 [0.89-1.08],1.000,,Total-Free Cholesterol
Citrate,0.95 [0.85-1.05],1.000,,Citrate
M-LDL-FC%,0.94 [0.85-1.04],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
HDL-FC,0.92 [0.82-1.03],1.000,,Free Cholesterol in HDL
