Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
Total-BCAA,1.04 [0.87-1.25],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Val,1.04 [0.87-1.24],1.000,,Valine
M-LDL-PL%,1.04 [0.88-1.23],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Leu,1.03 [0.86-1.24],1.000,,Leucine
ApoB/ApoA1,1.03 [0.86-1.23],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
VLDL-C,0.93 [0.78-1.12],1.000,,VLDL Cholesterol
M-LDL-FC%,0.93 [0.77-1.12],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Remnant-C,0.86 [0.72-1.04],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Total-C,0.81 [0.67-0.98],1.000,,Total-Cholesterol
HDL-CE,0.78 [0.64-0.95],1.000,,Cholesteryl Esters in HDL
