Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
Tyr,1.09 [0.95-1.26],1.000,,Tyrosine
M-LDL-TG%,1.06 [0.93-1.22],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
ApoB/ApoA1,1.06 [0.92-1.21],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
ApoB,1.05 [0.91-1.20],1.000,,Apolipoprotein B
Ile,1.01 [0.88-1.17],1.000,,Isoleucine
DHA%,0.99 [0.87-1.13],1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
LA%,0.95 [0.83-1.09],1.000,,Linoleic Acid to Total-Fatty Acids percentage
M-LDL-FC%,0.94 [0.82-1.07],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
PUFA%,0.94 [0.82-1.07],1.000,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
Omega-6%,0.93 [0.82-1.06],1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
