Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
Gln,1.25 [1.07-1.46],1.000,,Glutamine
Gly,1.12 [0.90-1.40],1.000,,Glycine
M-LDL-PL%,1.06 [0.91-1.25],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Phe,1.04 [0.89-1.21],1.000,,Phenylalanine
His,1.00 [0.86-1.17],1.000,,Histidine
S-LDL-C%,0.73 [0.64-0.83],0.614,,Cholesterol to Total-Lipids in Small LDL percentage
Clinical LDL-C,0.71 [0.61-0.82],0.698,,Clinical LDL Cholesterol
S-HDL-C,0.68 [0.58-0.80],0.595,,Cholesterol in Small HDL
S-HDL-CE,0.68 [0.58-0.80],0.455,,Cholesteryl Esters in Small HDL
S-HDL-P,0.67 [0.57-0.79],0.290,,Concentration of Small HDL Particles
