Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
Ile,1.07 [1.02-1.12],1.000,,Isoleucine
Leu,1.06 [1.01-1.11],1.000,,Leucine
M-LDL-TG%,1.06 [1.01-1.11],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Total-BCAA,1.06 [1.01-1.11],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Val,1.04 [0.99-1.09],1.000,,Valine
Lactate,1.00 [0.95-1.05],1.000,,Lactate
Total-FC,1.00 [0.95-1.04],1.000,,Total-Free Cholesterol
LDL-FC,0.98 [0.94-1.03],1.000,,Free Cholesterol in LDL
M-LDL-FC%,0.92 [0.89-0.96],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Citrate,0.92 [0.87-0.96],1.000,,Citrate
