Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-PL%,1.15 [1.03-1.29],1.000,,Phospholipids to Total-Lipids in IDL percentage
IDL-TG%,1.15 [1.03-1.28],1.000,,Triglycerides to Total-Lipids in IDL percentage
TG/PG,1.10 [0.98-1.23],1.000,,Triglycerides to Phosphoglycerides ratio
XXL-VLDL-TG,1.05 [0.95-1.17],1.000,,Triglycerides in Chylomicrons and Extremely Large VLDL
M-LDL-PL%,1.03 [0.92-1.15],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
VLDL-C,0.94 [0.84-1.06],1.000,,VLDL Cholesterol
M-LDL-FC%,0.92 [0.83-1.02],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Remnant-C,0.90 [0.81-1.00],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Total-C,0.87 [0.78-0.97],1.000,,Total-Cholesterol
DHA,0.74 [0.65-0.84],0.760,,Docosahexaenoic Acid
