Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
MUFA%,1.20 [1.09-1.33],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Omega-6/Omega-3,1.14 [1.03-1.26],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
M-LDL-PL%,1.01 [0.91-1.13],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
VLDL-C,1.01 [0.91-1.12],1.000,,VLDL Cholesterol
VLDL-CE,1.00 [0.90-1.11],1.000,,Cholesteryl Esters in VLDL
Remnant-C,0.99 [0.90-1.10],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Non-HDL-C,0.97 [0.88-1.07],1.000,,Total-Cholesterol Minus HDL-C
LDL-C,0.95 [0.86-1.05],1.000,,LDL Cholesterol
M-LDL-FC%,0.92 [0.84-1.01],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Unsaturation,0.78 [0.71-0.87],0.646,,Degree of Unsaturation
