Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-VLDL-CE%,1.16 [0.95-1.42],1.000,,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
M-LDL-FC%,1.15 [0.95-1.39],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-VLDL-FC%,1.11 [0.90-1.37],1.000,,Free Cholesterol to Total-Lipids in Large VLDL percentage
M-HDL-C%,1.11 [0.91-1.34],1.000,,Cholesterol to Total-Lipids in Medium HDL percentage
L-VLDL-PL%,1.08 [0.85-1.38],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
VLDL-CE,0.96 [0.79-1.16],1.000,,Cholesteryl Esters in VLDL
Total-CE,0.94 [0.78-1.12],1.000,,Total-Esterified Cholesterol
M-LDL-TG%,0.93 [0.77-1.12],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
DHA%,0.92 [0.76-1.10],1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
LDL-CE,0.92 [0.76-1.10],1.000,,Cholesteryl Esters in LDL
