Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Creatinine,0.2475,0.4982,Creatinine
GlycA,0.1950,0.1190,Glycoprotein Acetyls
Gly,0.1617,0.1042,Glycine
S-HDL-PL%,0.0620,0.0463,Phospholipids to Total-Lipids in Small HDL percentage
Phe,0.0347,0.0270,Phenylalanine
LDL-size,0.0388,0.0265,Average Diameter for LDL Particles
Ala,0.0253,0.0243,Alanine
Lactate,0.0160,0.0123,Lactate
Acetoacetate,0.0138,0.0102,Acetoacetate
Citrate,0.0145,0.0101,Citrate
Gln,0.0137,0.0076,Glutamine
Glu,0.0128,0.0076,Glucose
XL-HDL-C%,0.0095,0.0068,Cholesterol to Total-Lipids in Very Large HDL percentage
Sc-ala,0.0085,0.0067,Spectrometer-corrected alanine
Acetate,0.0113,0.0067,Acetate
M-LDL-PL%,0.0063,0.0063,Phospholipids to Total-Lipids in Medium LDL percentage
Val,0.0130,0.0062,Valine
Tyr,0.0080,0.0058,Tyrosine
Ile,0.0087,0.0054,Isoleucine
Acetone,0.0093,0.0054,Acetone
Glu-lactate,0.0088,0.0053,Glucose-lactate
XXL-VLDL-CE%,0.0062,0.0041,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Pyruvate,0.0092,0.0041,Pyruvate
XXL-VLDL-C%,0.0048,0.0039,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
IDL-PL%,0.0057,0.0032,Phospholipids to Total-Lipids in IDL percentage
IDL-CE%,0.0047,0.0029,Cholesteryl Esters to Total-Lipids in IDL percentage
L-HDL-L,0.0043,0.0028,Total-Lipids in Large HDL
L-LDL-CE%,0.0032,0.0025,Cholesteryl Esters to Total-Lipids in Large LDL percentage
L-LDL-PL%,0.0027,0.0025,Phospholipids to Total-Lipids in Large LDL percentage
Total-BCAA,0.0050,0.0023,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
XS-VLDL-PL%,0.0032,0.0022,Phospholipids to Total-Lipids in Very Small VLDL percentage
DHA%,0.0032,0.0021,Docosahexaenoic Acid to Total-Fatty Acids percentage
Albumin,0.0037,0.0021,Albumin
S-HDL-CE%,0.0028,0.0021,Cholesteryl Esters to Total-Lipids in Small HDL percentage
XXL-VLDL-TG%,0.0022,0.0020,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
3-Hydroxybutyrate,0.0027,0.0016,3-Hydroxybutyrate
Leu,0.0027,0.0015,Leucine
His,0.0022,0.0015,Histidine
M-LDL-C%,0.0022,0.0013,Cholesterol to Total-Lipids in Medium LDL percentage
LA%,0.0020,0.0012,Linoleic Acid to Total-Fatty Acids percentage
XL-VLDL-FC%,0.0008,0.0010,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
IDL-FC%,0.0010,0.0009,Free Cholesterol to Total-Lipids in IDL percentage
L-HDL-PL,0.0018,0.0009,Phospholipids in Large HDL
Omega-3%,0.0008,0.0008,Omega-3 Fatty Acids to Total-Fatty Acids percentage
VLDL-size,0.0010,0.0006,Average Diameter for VLDL Particles
L-VLDL-FC%,0.0007,0.0006,Free Cholesterol to Total-Lipids in Large VLDL percentage
S-HDL-FC%,0.0010,0.0005,Free Cholesterol to Total-Lipids in Small HDL percentage
XXL-VLDL-FC%,0.0005,0.0004,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XXL-VLDL-PL%,0.0003,0.0004,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-LDL-C%,0.0002,7.7949e-05,Cholesterol to Total-Lipids in Large LDL percentage
SFA%,0.0002,6.4737e-05,Saturated Fatty Acids to Total-Fatty Acids percentage
