Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
GlycA,0.2352,0.2563,Glycoprotein Acetyls
Albumin,0.1685,0.1954,Albumin
IDL-CE%,0.0452,0.0923,Cholesteryl Esters to Total-Lipids in IDL percentage
S-LDL-CE%,0.0575,0.0638,Cholesteryl Esters to Total-Lipids in Small LDL percentage
S-LDL-PL,0.0645,0.0609,Phospholipids in Small LDL
Val,0.0717,0.0507,Valine
IDL-C%,0.0278,0.0496,Cholesterol to Total-Lipids in IDL percentage
Creatinine,0.0393,0.0285,Creatinine
Sc-ala,0.0390,0.0251,Spectrometer-corrected alanine
Glu,0.0342,0.0232,Glucose
Leu,0.0342,0.0191,Leucine
Glu-lactate,0.0218,0.0177,Glucose-lactate
Total-BCAA,0.0285,0.0160,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
IDL-PL%,0.0178,0.0153,Phospholipids to Total-Lipids in IDL percentage
S-LDL-CE,0.0183,0.0148,Cholesteryl Esters in Small LDL
M-LDL-CE,0.0095,0.0097,Cholesteryl Esters in Medium LDL
XXL-VLDL-TG%,0.0087,0.0085,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-LDL-PL%,0.0073,0.0079,Phospholipids to Total-Lipids in Small LDL percentage
XXL-VLDL-CE%,0.0092,0.0070,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
PUFA,0.0038,0.0043,Polyunsaturated Fatty Acids
LA,0.0048,0.0035,Linoleic Acid
Gly,0.0057,0.0035,Glycine
XXL-VLDL-C%,0.0050,0.0033,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-LDL-C%,0.0052,0.0031,Cholesterol to Total-Lipids in Medium LDL percentage
Citrate,0.0072,0.0028,Citrate
Lactate,0.0043,0.0028,Lactate
IDL-P,0.0038,0.0023,Concentration of IDL Particles
Total-C,0.0012,0.0017,Total-Cholesterol
Ala,0.0027,0.0016,Alanine
L-LDL-C%,0.0022,0.0012,Cholesterol to Total-Lipids in Large LDL percentage
Omega-6/Omega-3,0.0033,0.0012,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XXL-VLDL-PL%,0.0017,0.0010,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Omega-3,0.0020,0.0008,Omega-3 Fatty Acids
XS-VLDL-PL%,0.0020,0.0008,Phospholipids to Total-Lipids in Very Small VLDL percentage
Gln,0.0010,0.0007,Glutamine
Omega-3%,0.0017,0.0007,Omega-3 Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-FC%,0.0005,0.0007,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Pyruvate,0.0013,0.0005,Pyruvate
Tyr,0.0010,0.0004,Tyrosine
VLDL-size,0.0003,0.0003,Average Diameter for VLDL Particles
Acetoacetate,0.0003,0.0003,Acetoacetate
Phe,0.0005,0.0002,Phenylalanine
3-Hydroxybutyrate,0.0003,0.0001,3-Hydroxybutyrate
