Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
L-LDL-TG%,0.0978,0.2099,Triglycerides to Total-Lipids in Large LDL percentage
GlycA,0.2505,0.2084,Glycoprotein Acetyls
LA%,0.0758,0.0995,Linoleic Acid to Total-Fatty Acids percentage
IDL-C%,0.0357,0.0874,Cholesterol to Total-Lipids in IDL percentage
IDL-CE%,0.0440,0.0510,Cholesteryl Esters to Total-Lipids in IDL percentage
Val,0.0635,0.0458,Valine
Albumin,0.0732,0.0428,Albumin
ApoB/ApoA1,0.0510,0.0322,Apolipoprotein B to Apolipoprotein A1 ratio
IDL-CE,0.0245,0.0286,Cholesteryl Esters in IDL
Creatinine,0.0360,0.0252,Creatinine
LA,0.0293,0.0244,Linoleic Acid
Tyr,0.0182,0.0199,Tyrosine
S-LDL-PL%,0.0317,0.0185,Phospholipids to Total-Lipids in Small LDL percentage
Total-BCAA,0.0247,0.0164,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
XS-VLDL-PL%,0.0145,0.0148,Phospholipids to Total-Lipids in Very Small VLDL percentage
Leu,0.0247,0.0139,Leucine
L-LDL-C%,0.0080,0.0095,Cholesterol to Total-Lipids in Large LDL percentage
His,0.0157,0.0074,Histidine
IDL-PL%,0.0132,0.0073,Phospholipids to Total-Lipids in IDL percentage
Omega-6/Omega-3,0.0058,0.0042,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Phe,0.0068,0.0027,Phenylalanine
XXL-VLDL-PL%,0.0060,0.0026,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-HDL-TG%,0.0048,0.0026,Triglycerides to Total-Lipids in Small HDL percentage
Acetate,0.0043,0.0025,Acetate
Acetoacetate,0.0052,0.0023,Acetoacetate
Gln,0.0037,0.0021,Glutamine
L-HDL-FC%,0.0035,0.0020,Free Cholesterol to Total-Lipids in Large HDL percentage
IDL-TG%,0.0018,0.0018,Triglycerides to Total-Lipids in IDL percentage
S-LDL-C%,0.0025,0.0016,Cholesterol to Total-Lipids in Small LDL percentage
Acetone,0.0028,0.0014,Acetone
L-LDL-PL%,0.0013,0.0011,Phospholipids to Total-Lipids in Large LDL percentage
L-LDL-CE%,0.0023,0.0011,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Gly,0.0017,0.0009,Glycine
PUFA/MUFA,0.0020,0.0009,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
S-HDL-PL%,0.0012,0.0009,Phospholipids to Total-Lipids in Small HDL percentage
3-Hydroxybutyrate,0.0015,0.0008,3-Hydroxybutyrate
Citrate,0.0012,0.0008,Citrate
XXL-VLDL-CE%,0.0013,0.0007,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-HDL-PL%,0.0007,0.0006,Phospholipids to Total-Lipids in Medium HDL percentage
MUFA%,0.0015,0.0006,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Sc-ala,0.0010,0.0006,Spectrometer-corrected alanine
Glu,0.0008,0.0004,Glucose
S-HDL-CE%,0.0008,0.0004,Cholesteryl Esters to Total-Lipids in Small HDL percentage
LDL-size,0.0008,0.0003,Average Diameter for LDL Particles
Ala,0.0008,0.0003,Alanine
IDL-FC%,0.0003,0.0002,Free Cholesterol to Total-Lipids in IDL percentage
L-LDL-FC%,0.0007,0.0002,Free Cholesterol to Total-Lipids in Large LDL percentage
Lactate,0.0003,0.0002,Lactate
M-LDL-PL%,0.0003,0.0001,Phospholipids to Total-Lipids in Medium LDL percentage
Pyruvate,0.0002,9.7187e-05,Pyruvate
