Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-FC%,"29.563 [-6.806,65.932]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-VLDL-CE%,"11.627 [-20.820,44.073]",1.000,,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
L-LDL-TG%,"6.973 [-27.555,41.501]",1.000,,Triglycerides to Total-Lipids in Large LDL percentage
L-VLDL-C%,"5.661 [-24.686,36.009]",1.000,,Cholesterol to Total-Lipids in Large VLDL percentage
L-VLDL-TG%,"1.795 [-26.216,29.806]",1.000,,Triglycerides to Total-Lipids in Large VLDL percentage
M-VLDL-FC%,"-5.051 [-39.795,29.692]",1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
VLDL-C,"-41.547 [-72.807,-10.286]",1.000,,VLDL Cholesterol
Non-HDL-C,"-44.044 [-76.409,-11.678]",1.000,,Total-Cholesterol Minus HDL-C
Remnant-C,"-44.526 [-76.704,-12.349]",1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Total-C,"-46.422 [-80.221,-12.622]",1.000,,Total-Cholesterol
