Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Albumin,"0.230 [0.181,0.278]",4.180e-15,***,Albumin
Glu-lactate,"0.219 [0.168,0.270]",1.142e-11,***,Glucose-lactate
3-Hydroxybutyrate,"0.204 [0.158,0.250]",9.735e-13,***,3-Hydroxybutyrate
Lactate,"0.178 [0.133,0.224]",2.664e-09,***,Lactate
S-HDL-C,"0.170 [0.123,0.218]",6.028e-07,***,Cholesterol in Small HDL
S-HDL-P,"0.168 [0.120,0.215]",9.829e-07,***,Concentration of Small HDL Particles
S-HDL-CE,"0.168 [0.120,0.215]",8.170e-07,***,Cholesteryl Esters in Small HDL
SM,"0.167 [0.116,0.218]",3.443e-05,***,Sphingomyelins
XL-HDL-CE%,"0.167 [0.109,0.224]",0.003,**,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
Total-P,"0.159 [0.109,0.209]",1.162e-04,***,Total-Concentration of Lipoprotein Particles
S-HDL-FC,"0.153 [0.104,0.203]",2.303e-04,***,Free Cholesterol in Small HDL
M-LDL-CE,"0.149 [0.100,0.198]",7.090e-04,***,Cholesteryl Esters in Medium LDL
S-HDL-L,"0.148 [0.100,0.196]",4.252e-04,***,Total-Lipids in Small HDL
HDL-P,"0.147 [0.098,0.197]",0.002,**,Concentration of HDL Particles
Total-CE,"0.147 [0.096,0.199]",0.005,**,Total-Esterified Cholesterol
M-LDL-C,"0.147 [0.098,0.196]",0.001,**,Cholesterol in Medium LDL
SFA,"0.146 [0.093,0.200]",0.018,*,Saturated Fatty Acids
Total-C,"0.144 [0.093,0.196]",0.010,**,Total-Cholesterol
M-LDL-L,"0.144 [0.095,0.193]",0.002,**,Total-Lipids in Medium LDL
Total-PL,"0.142 [0.090,0.194]",0.022,*,Total-Phospholipids in Lipoprotein Particles
Total-L,"0.141 [0.090,0.192]",0.016,*,Total-Lipids in Lipoprotein Particles
LDL-CE,"0.136 [0.086,0.185]",0.017,*,Cholesteryl Esters in LDL
S-LDL-CE,"0.135 [0.086,0.185]",0.017,*,Cholesteryl Esters in Small LDL
LDL-L,"0.135 [0.085,0.184]",0.021,*,Total-Lipids in LDL
LDL-C,"0.134 [0.085,0.184]",0.024,*,LDL Cholesterol
S-HDL-PL,"0.134 [0.085,0.182]",0.016,*,Phospholipids in Small HDL
S-LDL-C,"0.133 [0.084,0.182]",0.021,*,Cholesterol in Small LDL
S-LDL-L,"0.132 [0.083,0.181]",0.034,*,Total-Lipids in Small LDL
M-LDL-FC,"0.132 [0.083,0.180]",0.027,*,Free Cholesterol in Medium LDL
LDL-PL,"0.130 [0.081,0.179]",0.040,*,Phospholipids in LDL
M-LDL-P,"0.130 [0.081,0.179]",0.048,*,Concentration of Medium LDL Particles
M-LDL-PL,"0.130 [0.081,0.178]",0.040,*,Phospholipids in Medium LDL
Gln,"-0.178 [-0.227,-0.128]",5.845e-07,***,Glutamine
Tyr,"-0.179 [-0.230,-0.129]",1.033e-06,***,Tyrosine
Total-BCAA,"-0.194 [-0.246,-0.141]",9.081e-08,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Leu,"-0.229 [-0.283,-0.175]",1.989e-11,***,Leucine
Ile,"-0.269 [-0.321,-0.217]",1.332e-18,***,Isoleucine
Phe,"-0.277 [-0.327,-0.226]",1.011e-21,***,Phenylalanine
