Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Tyr,"0.378 [0.180,0.576]",1.000,,Tyrosine
Leu,"0.257 [0.047,0.467]",1.000,,Leucine
Ile,"0.217 [0.012,0.423]",1.000,,Isoleucine
Phe,"0.090 [-0.110,0.290]",1.000,,Phenylalanine
M-LDL-PL%,"0.024 [-0.173,0.221]",1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Albumin,"-0.056 [-0.264,0.152]",1.000,,Albumin
Creatinine,"-0.067 [-0.332,0.197]",1.000,,Creatinine
Unsaturation,"-0.206 [-0.431,0.018]",1.000,,Degree of Unsaturation
M-LDL-FC%,"-0.226 [-0.456,0.004]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
HDL-FC,"-0.362 [-0.577,-0.146]",1.000,,Free Cholesterol in HDL
