Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
GlycA,"6.557 [6.395,6.718]",0.000e+00,***,Glycoprotein Acetyls
MUFA%,"3.635 [3.461,3.809]",0.000e+00,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
MUFA,"2.657 [2.490,2.823]",6.940e-209,***,Monounsaturated Fatty Acids
XXL-VLDL-CE,"2.635 [2.470,2.799]",1.212e-209,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
XXL-VLDL-C,"2.611 [2.446,2.776]",4.679e-204,***,Cholesterol in Chylomicrons and Extremely Large VLDL
XXL-VLDL-L,"2.590 [2.421,2.758]",9.222e-193,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-FC,"2.512 [2.345,2.678]",7.359e-186,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
XXL-VLDL-TG,"2.499 [2.328,2.670]",2.948e-174,***,Triglycerides in Chylomicrons and Extremely Large VLDL
XXL-VLDL-PL,"2.496 [2.327,2.664]",7.701e-179,***,Phospholipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-P,"2.411 [2.241,2.581]",3.760e-164,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
TG/PG,"2.311 [2.135,2.486]",1.400e-140,***,Triglycerides to Phosphoglycerides ratio
XL-VLDL-FC,"2.262 [2.100,2.424]",3.434e-159,***,Free Cholesterol in Very Large VLDL
XL-VLDL-PL,"2.261 [2.097,2.424]",1.934e-155,***,Phospholipids in Very Large VLDL
M-HDL-PL%,"2.245 [2.069,2.421]",4.757e-132,***,Phospholipids to Total-Lipids in Medium HDL percentage
XL-VLDL-L,"2.217 [2.053,2.382]",1.642e-147,***,Total-Lipids in Very Large VLDL
XL-VLDL-C,"2.195 [2.037,2.353]",3.497e-157,***,Cholesterol in Very Large VLDL
VLDL-size,"2.193 [2.025,2.361]",6.382e-139,***,Average Diameter for VLDL Particles
XL-VLDL-P,"2.113 [1.948,2.279]",1.322e-132,***,Concentration of Very Large VLDL Particles
XL-VLDL-TG,"2.096 [1.928,2.264]",4.437e-126,***,Triglycerides in Very Large VLDL
VLDL-TG,"2.090 [1.926,2.253]",5.004e-133,***,Triglycerides in VLDL
VLDL-L,"2.084 [1.925,2.242]",7.220e-141,***,Total-Lipids in VLDL
XL-VLDL-CE,"2.063 [1.909,2.218]",1.876e-144,***,Cholesteryl Esters in Very Large VLDL
L-VLDL-FC,"2.042 [1.881,2.202]",1.500e-131,***,Free Cholesterol in Large VLDL
L-VLDL-C,"1.999 [1.844,2.155]",8.767e-134,***,Cholesterol in Large VLDL
L-VLDL-L,"1.999 [1.838,2.160]",3.116e-125,***,Total-Lipids in Large VLDL
L-VLDL-PL,"1.998 [1.836,2.159]",1.267e-124,***,Phospholipids in Large VLDL
L-VLDL-P,"1.989 [1.826,2.152]",6.867e-121,***,Concentration of Large VLDL Particles
Total-TG,"1.975 [1.812,2.138]",9.225e-119,***,Total-Triglycerides
VLDL-PL,"1.947 [1.791,2.103]",2.357e-126,***,Phospholipids in VLDL
S-LDL-CE%,"1.925 [1.773,2.078]",6.733e-129,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
L-VLDL-CE,"1.908 [1.756,2.060]",1.230e-127,***,Cholesteryl Esters in Large VLDL
VLDL-FC,"1.879 [1.725,2.033]",2.545e-120,***,Free Cholesterol in VLDL
L-VLDL-TG,"1.870 [1.706,2.034]",8.971e-105,***,Triglycerides in Large VLDL
M-LDL-CE%,"1.840 [1.687,1.993]",6.393e-118,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
Total-FA,"1.838 [1.673,2.002]",4.495e-101,***,Total-Fatty Acids
