Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,"0.011 [-0.006,0.028]",1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Remnant-C,"0.007 [-0.009,0.024]",1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Non-HDL-C,"0.005 [-0.012,0.022]",1.000,,Total-Cholesterol Minus HDL-C
LDL-C,"0.003 [-0.014,0.019]",1.000,,LDL Cholesterol
Clinical LDL-C,"0.002 [-0.015,0.019]",1.000,,Clinical LDL Cholesterol
L-HDL-FC%,"-0.000 [-0.022,0.021]",1.000,,Free Cholesterol to Total-Lipids in Large HDL percentage
L-LDL-CE%,"-0.001 [-0.017,0.015]",1.000,,Cholesteryl Esters to Total-Lipids in Large LDL percentage
L-LDL-C%,"-0.012 [-0.030,0.007]",1.000,,Cholesterol to Total-Lipids in Large LDL percentage
L-LDL-FC%,"-0.013 [-0.031,0.005]",1.000,,Free Cholesterol to Total-Lipids in Large LDL percentage
M-LDL-FC%,"-0.014 [-0.032,0.005]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
