Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-CE%,"0.028 [-0.031,0.087]",1.000,,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
M-HDL-TG%,"0.024 [-0.039,0.087]",1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
Gln,"0.023 [-0.038,0.083]",1.000,,Glutamine
M-LDL-TG%,"0.010 [-0.055,0.074]",1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-LDL-C%,"0.006 [-0.059,0.070]",1.000,,Cholesterol to Total-Lipids in Medium LDL percentage
SFA,"-0.004 [-0.068,0.061]",1.000,,Saturated Fatty Acids
Total-FA,"-0.006 [-0.069,0.058]",1.000,,Total-Fatty Acids
Unsaturation,"-0.007 [-0.074,0.060]",1.000,,Degree of Unsaturation
M-LDL-FC%,"-0.028 [-0.098,0.043]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
HDL-FC,"-0.046 [-0.110,0.017]",1.000,,Free Cholesterol in HDL
