Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
L-HDL-FC%,"4.599 [-10.515,19.713]",1.000,,Free Cholesterol to Total-Lipids in Large HDL percentage
L-LDL-FC%,"4.451 [-8.164,17.066]",1.000,,Free Cholesterol to Total-Lipids in Large LDL percentage
M-LDL-FC%,"3.513 [-9.116,16.141]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-HDL-TG%,"0.637 [-11.875,13.149]",1.000,,Triglycerides to Total-Lipids in Large HDL percentage
L-HDL-CE%,"0.073 [-14.864,15.010]",1.000,,Cholesteryl Esters to Total-Lipids in Large HDL percentage
Omega-6/Omega-3,"-0.867 [-11.851,10.117]",1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
M-LDL-PL%,"-3.639 [-13.664,6.386]",1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
VLDL-CE,"-5.865 [-16.675,4.944]",1.000,,Cholesteryl Esters in VLDL
LDL-CE,"-5.986 [-17.065,5.092]",1.000,,Cholesteryl Esters in LDL
Total-CE,"-6.984 [-18.723,4.754]",1.000,,Total-Esterified Cholesterol
