Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
N14_CYSTITIS,693,0.334 [0.321-0.35],1.000e-315,***,Cystitis,Genitourinary
N14_URINOTH,1485,0.248 [0.235-0.26],8.811e-289,***,Other diseases of urinary system,Genitourinary
E4_HYPERLIPMIX,365,0.206 [0.178-0.23],1.498e-42,***,Mixed hyperlipidaemia,Endocrine and metabolic
KRA_PSY_ANYMENTAL,2504,0.119 [0.108-0.13],1.347e-106,***,Any mental disorder,Mental and behavioural
M13_SOFTTISSUEOTH,600,0.112 [0.096-0.13],7.698e-40,***,"Other soft tissue disorders, not elsewhere classified",Musculoskeletal
G6_DEGENOTH,14,0.110 [0.071-0.15],0.010,*,Other and unspecified degenerative diseases of nervous system,Nervous
F5_ANXIETY,71,0.109 [0.090-0.13],1.134e-24,***,Other anxiety disorders,Mental and behavioural
N14_MALEGEN,1376,0.096 [0.090-0.10],5.003e-176,***,Diseases of male genital organs,Genitourinary
M13_ENTESOPATHYOTH,48,0.094 [0.076-0.11],1.585e-17,***,Other enthesopathies,Musculoskeletal
K11_FISTULA,485,0.092 [0.088-0.10],1.000e-315,***,Colonic or urogenital fistula,Digestive
J10_ACUTEUPPERINFEC,241,0.078 [0.060-0.10],1.033e-12,***,Acute upper respiratory infections of multiple and unspecified sites,Respiratory
AB1_BACT_INTEST_OTH,357,0.077 [0.071-0.08],1.383e-122,***,Other bacterial intestinal infections,Infectious and parasitic
J10_PLEURA,140,0.072 [0.061-0.08],6.024e-28,***,Other diseases of pleura,Respiratory
J10_INFLUPNEU,534,0.069 [0.059-0.08],2.241e-36,***,Influenza and pneumonia,Respiratory
M13_MYALGIA,253,0.067 [0.056-0.08],1.643e-27,***,Myalgia,Musculoskeletal
C_DIFFICILE_ENTEROCOLITIS,2693,0.066 [0.064-0.07],1.000e-315,***,Enterocolitis due to Clostridium difficile,Infectious and parasitic
VD_U,43,0.061 [0.041-0.08],4.286e-04,***,Vascular dementia (undefined),Mental and behavioural
F5_DEPRESSIO,2165,0.057 [0.051-0.06],1.624e-90,***,Depression,Mental and behavioural
N14_PROSTHYPERPLA,3796,0.054 [0.052-0.06],8.763e-299,***,Hyperplasia of prostate,Genitourinary
J10_UPPERINFEC,1002,0.054 [0.043-0.06],7.425e-19,***,Acute upper respiratory infections,Respiratory
N14_CHRONEPHROPATH,18,0.052 [0.041-0.06],1.426e-15,***,Chronic nephritic syndrome,Genitourinary
F5_DELIRIUM,173,0.051 [0.037-0.07],8.268e-07,***,"Delirium, not induced by alcohol and other psychoactive substances",Mental and behavioural
L12_DISORDSKINAPPENDIX,424,0.049 [0.031-0.07],0.021,*,Disorders of skin appendages,Skin
M13_HAMMERTOE,331,0.048 [0.037-0.06],2.795e-11,***,Other hammer toe(s) (acquired),Musculoskeletal
H7_CHALAZION,671,0.044 [0.040-0.05],1.292e-97,***,Chalazion,Eye and adnexa
CD2_BENIGN_OVARY,144,0.044 [0.037-0.05],4.330e-31,***,Benign neoplasm of ovary,Neoplasms
J10_SEPTDEV,498,0.044 [0.035-0.05],3.314e-15,***,Deviated nasal septum,Respiratory
CD2_BENIGN_MELANOCYTIC_TRUNK,183,0.043 [0.038-0.05],4.044e-72,***,Melanocytic naevi of trunk,Neoplasms
NEURODEGOTH,4178,0.043 [0.039-0.05],6.301e-142,***,Other degenerative diseases of the nervous system,Nervous
CD2_LYMPHOID_LEUKAEMIA,767,0.042 [0.040-0.04],1.000e-315,***,Lymphoid leukaemia,Neoplasms
AUD,259,0.039 [0.031-0.05],1.021e-16,***,"Alcohol use disorder, ICD-based",Mental and behavioural
J10_PNEUMOTHORAX,46,0.037 [0.030-0.04],5.679e-16,***,Pneumothorax,Respiratory
N14_MENORRHAGIA,718,0.037 [0.029-0.04],1.892e-15,***,Menorrhagia,Genitourinary
M13_CALCIFICTEND,177,0.034 [0.030-0.04],1.754e-88,***,Calcific tendinitis of shoulder,Musculoskeletal
M13_HALLUXVALGUS,3980,0.033 [0.030-0.04],1.264e-87,***,Hallux valgus (acquired),Musculoskeletal
M13_DEFORMDORSO,171,0.033 [0.022-0.04],0.002,**,Deforming dorsopathies,Musculoskeletal
N14_ORHCEPINDIDYMITIS,99,0.032 [0.023-0.04],8.811e-07,***,Orchitis and epididymitis,Genitourinary
H7_PTOSIS,64,0.032 [0.024-0.04],1.579e-08,***,Ptosis of eyelid,Eye and adnexa
N14_URETHRAOTH,610,0.031 [0.021-0.04],2.885e-05,***,Other disorders of urethra and urinary system,Genitourinary
N14_OVARYCYST,987,0.031 [0.026-0.04],6.980e-34,***,Ovarian cyst,Genitourinary
CD2_BENIGN_MELANOCYTIC,521,0.030 [0.020-0.04],7.863e-05,***,Melanocytic naevi,Neoplasms
K11_GASTRODUOULC,227,0.028 [0.020-0.04],1.141e-05,***,Gastroduodenal ulcer,Digestive
AB1_VIRAL_OTHER_INTEST_INFECTIONS,985,0.028 [0.023-0.03],8.901e-24,***,Viral and other specified intestinal infections,Infectious and parasitic
CD2_BENIGN_THYROID,151,0.027 [0.025-0.03],4.895e-81,***,Benign neoplasm of thyroid gland,Neoplasms
O15_PREG_OTHER_MAT_DISORD,1961,0.027 [0.020-0.03],2.950e-09,***,Other maternal disorders predominantly related to pregnancy,Pregnancy
M13_POSTOPMUSCULOSKE,87,0.027 [0.018-0.04],0.001,**,"Postprocedural musculoskeletal disorders, not elsewhere classified",Musculoskeletal
COPD_EARLY,512,0.026 [0.023-0.03],2.121e-81,***,Early onset COPD,Respiratory
C3_CLL_WIDE,431,0.025 [0.023-0.03],4.376e-134,***,"Chronic lymphocytic leukaemia and small lyphocytis leukaemia, including Hilmo",Neoplasms
I9_VASCINT,15,0.025 [0.017-0.03],1.253e-04,***,Vascular diseases of the intestine,Circulatory
CD2_BENIGN_LEIOMYOMA_UTERI,9080,0.024 [0.022-0.03],1.836e-124,***,Leiomyoma of uterus,Neoplasms
N14_CALCUKIDUR,1321,0.023 [0.019-0.03],3.895e-22,***,Calculus of kidney and ureter,Genitourinary
H7_OPTNEUROTH,48,0.022 [0.014-0.03],0.014,*,Other disorders of optic [2nd] nerve and visual pathways,Eye and adnexa
J10_EMPHYSEMA,365,0.021 [0.019-0.02],6.944e-63,***,Emphysema,Respiratory
N14_BENIGNMAMDYSP,134,0.021 [0.014-0.03],5.966e-05,***,Benign mammary dysplasia,Genitourinary
PHLEBI_THROMBOP_LOWER_EXTREMITI_UNSPE,25,0.020 [0.015-0.03],1.639e-10,***,"Phlebitis and thrombophlebitis of lower extremities, unspecified, drug-induced",Ear and mastoid
I9_HEARTFAIL,682,0.020 [0.013-0.03],0.023,*,"Heart failure, strict",Circulatory
C3_BRONCHUS_LUNG,574,0.019 [0.017-0.02],8.629e-46,***,Malignant neoplasm of bronchus and lung,Neoplasms
H7_BLINDMONOCULAR,75,0.019 [0.016-0.02],1.185e-21,***,"Blindness, monocular",Eye and adnexa
N14_ENDOMETRIOSIS_UTERUS,193,0.019 [0.014-0.02],8.089e-08,***,Adenomyosis (Endometriosis of uterus),Genitourinary
C3_LUNG_NONSMALL,527,0.018 [0.016-0.02],2.250e-48,***,Non-small cell lung cancer,Neoplasms
M13_OSTEOMYELITIS,308,0.017 [0.013-0.02],3.945e-09,***,Osteomyelitis,Musculoskeletal
C3_KIDNEY_NOTRENALPELVIS,210,0.017 [0.012-0.02],6.025e-04,***,"Malignant neoplasm of kidney, except renal pelvis",Neoplasms
H8_EXTERNAL,828,0.017 [0.013-0.02],1.596e-09,***,Diseases of external ear,Ear and mastoid
CD2_FOLLICULAR_LYMPHOMA,5808,0.017 [0.016-0.02],1.000e-315,***,"Follicular lymphoma, hilmo",Neoplasms
H7_OPTNERVE,2671,0.016 [0.014-0.02],1.387e-24,***,Disorders of optic nerve and visual pathways,Eye and adnexa
E4_HYPERKALAEMIA,252,0.016 [0.010-0.02],0.042,*,Hyperkalaemia,Endocrine and metabolic
E4_MINERAL_MET,806,0.016 [0.014-0.02],2.296e-109,***,Disorders of mineral metabolism,Endocrine and metabolic
G6_OTHDEMYEL,3560,0.015 [0.014-0.02],8.170e-188,***,Other demyelinating diseases of the central nervous system,Nervous
K11_HERNIA,6152,0.015 [0.012-0.02],5.939e-13,***,Hernia,Digestive
K11_DIVERTIC,4845,0.015 [0.012-0.02],5.554e-15,***,Diverticular disease of intestine,Digestive
H8_TINNITUS,193,0.015 [0.010-0.02],0.002,**,Tinnitus,Ear and mastoid
L12_LICHENSIMPLEX,206,0.014 [0.011-0.02],1.785e-15,***,Lichen simplex chronicus,Skin
I9_AORTANEUR,1277,0.014 [0.011-0.02],7.121e-20,***,Aortic aneurysm,Circulatory
ULCERRECT,2148,0.014 [0.012-0.02],1.847e-40,***,Ulcerative rectosigmoiditis,Digestive
L12_PILONIDALCYST,217,0.014 [0.010-0.02],7.855e-07,***,Pilonidal cyst,Skin
C3_ANUS_ANALCANAL,76,0.013 [0.011-0.02],9.379e-19,***,Malignant neoplasm of anus and anal canal,Neoplasms
C3_THYROID_GLAND,1117,0.012 [0.011-0.01],1.565e-39,***,Malignant neoplasm of thyroid gland,Neoplasms
N14_ENDOMETRIOSIS,3268,0.012 [0.009-0.02],4.266e-11,***,Endometriosis,Genitourinary
L12_CORNSANDCALLOS,491,0.011 [0.009-0.01],7.549e-19,***,Corns and callosities,Skin
N14_PHIMOSIS,4306,0.011 [0.010-0.01],9.872e-36,***,"Redundant prepuce, phimosis and paraphimosis",Genitourinary
K11_UMBHER,2034,0.011 [0.007-0.01],0.048,*,Umbilical hernia,Digestive
I9_THAORTANEUR,1182,0.010 [0.008-0.01],1.139e-17,***,Thoracic aortic aneurysm,Circulatory
M13_GOUT,3183,0.009 [0.006-0.01],6.878e-05,***,Gout,Musculoskeletal
H7_HEREDRETINADYST,308,0.009 [0.007-0.01],3.347e-15,***,Hereditary retinal dystrophy,Eye and adnexa
M13_SYSTSLCE,1075,0.008 [0.006-0.01],3.719e-12,***,Systemic sclerosis,Musculoskeletal
O15_MATERN_HYPERT_UNS,90,0.008 [0.006-0.01],3.047e-06,***,Unspecified maternal hypertension,Pregnancy
ULCERPROCT,1091,0.008 [0.005-0.01],2.127e-06,***,Ulcerative proctitis,Digestive
G6_RLS,898,0.007 [0.005-0.01],2.850e-05,***,Restless leg syndrome,Nervous
H8_OTOSCLE,2888,0.006 [0.005-0.01],9.648e-27,***,Otosclerosis,Ear and mastoid
G6_ALS,180,0.006 [0.004-0.01],2.797e-04,***,Motor neuron disease,Nervous
GOUT_IDIO,1453,0.006 [0.005-0.01],9.958e-18,***,Idiopathic gout,Musculoskeletal
E4_IRON_MET,3833,0.004 [0.004-0.00],7.688e-153,***,Disorders of iron metabolism,Endocrine and metabolic
H7_KERATOCONUS,1133,0.002 [0.001-0.00],0.003,**,Hereditary corneal dystrophies,Eye and adnexa
E4_PLASMAPROT,960,-0.001 [-0.002--0.00],6.552e-07,***,"Disorders of plasma-protein metabolism, not elsewhere classified",Endocrine and metabolic
D3_COAGOTHER,2573,-0.002 [-0.003--0.00],0.007,**,Other coagulation defects,Blood and immune
M13_ANKYLOSPON,29005,-0.002 [-0.003--0.00],3.258e-69,***,Ankylosing spondylitis,Musculoskeletal
H7_IRIDOCYCLITIS,22983,-0.003 [-0.004--0.00],2.784e-26,***,Iridocyclitis,Eye and adnexa
SPONDYLOARTHRITIS,25038,-0.005 [-0.005--0.00],1.068e-108,***,Spondyloarthritis,Musculoskeletal
POLYCYTVERA,839,-0.005 [-0.006--0.00],7.045e-69,***,Polycythaemia vera,Neoplasms
RHEUMA_OTHER_WIDE,12512,-0.005 [-0.006--0.00],6.936e-16,***,"Other (seronegative) rheumatoid arthritis, wide",Musculoskeletal
M13_SPONDYLINFLAMNAS,14599,-0.005 [-0.006--0.00],1.428e-127,***,Other specified/unspecified inflammatory spondylopathies,Musculoskeletal
L12_ATROPHICSKIN,3167,-0.005 [-0.007--0.00],0.013,*,Atrophic disorders of skin,Skin
