Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
CD2_BENIGN_COLON_NOS,212,0.164 [0.129-0.20],2.601e-14,***,"Benign neoplasm: Colon, unspecified",Neoplasms
O15_DELIV_CAESAR,82,0.162 [0.148-0.18],1.322e-111,***,Single delivery by caesarean section,Pregnancy
O15_MATERN_CARE_PELVIC_ABNORM,86,0.144 [0.132-0.16],2.304e-109,***,Maternal care for known or suspected abnormality of pelvic organs,Pregnancy
M13_OSTEOCHONDRO,166,0.136 [0.122-0.15],1.039e-85,***,Osteopathies and chondropathies,Musculoskeletal
K11_CHRONGASTR,210,0.131 [0.123-0.14],2.175e-200,***,Chronic gastritis,Digestive
M13_LIMBPAIN,197,0.119 [0.086-0.15],6.906e-07,***,Pain in limb,Musculoskeletal
M13_SCIATICA,658,0.113 [0.104-0.12],1.660e-138,***,Sciatica+with lumbago,Musculoskeletal
AB1_INTESTINAL_INFECTIONS,954,0.102 [0.091-0.11],5.996e-68,***,Intestinal infectious diseases,Infectious and parasitic
H7_CATARACTSENILE,4936,0.099 [0.094-0.10],1.000e-315,***,Senile cataract,Eye and adnexa
O15_MATERN_CARE_OTHER,240,0.093 [0.086-0.10],2.705e-133,***,Maternal care for other known or suspected fetal problems,Pregnancy
M13_ROTATORCUFF,66,0.090 [0.059-0.12],0.003,**,Rotator cuff syndrome,Musculoskeletal
L12_DERMATITISNAS,2477,0.089 [0.084-0.09],2.770e-273,***,Dermatitis,Skin
H7_VITRBODYGLOBE,276,0.088 [0.079-0.10],2.308e-87,***,Disorders of vitreous body,Eye and adnexa
K11_DISLIVOTH,287,0.087 [0.081-0.09],6.602e-168,***,Other diseases of liver,Digestive
G6_MIGRAINE_WITH_AURA,143,0.082 [0.073-0.09],5.256e-67,***,Migraine with aura,Nervous
K11_PANCOTH,29,0.082 [0.071-0.09],1.353e-41,***,Other diseases of pancreas,Digestive
