Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
K11_OTHDISDIG,25,0.285 [0.256-0.31],6.642e-77,***,Other diseases of the digestive system,Digestive
N14_URETHRAOTH,610,0.196 [0.180-0.21],4.100e-120,***,Other disorders of urethra and urinary system,Genitourinary
L12_ABSCESS_CUT,66,0.181 [0.151-0.21],6.212e-27,***,"Cutaneous abscess, furuncle and carbuncle",Skin
J10_ACUTEUPPERINFEC,241,0.135 [0.119-0.15],1.657e-62,***,Acute upper respiratory infections of multiple and unspecified sites,Respiratory
M13_ENTESOPATHYOTH,48,0.126 [0.106-0.15],2.724e-30,***,Other enthesopathies,Musculoskeletal
J10_VOCALLARYNX,20,0.117 [0.080-0.15],2.252e-04,***,"Diseases of vocal cords and larynx+other diseases of upper respiratory tract, no elsewhere classified",Respiratory
N14_MENSIRREG,59,0.115 [0.097-0.13],4.812e-33,***,Irregular menses,Genitourinary
O15_DELIV_CAESAR,82,0.099 [0.084-0.11],2.076e-31,***,Single delivery by caesarean section,Pregnancy
N14_FEMALEGENNONINF,279,0.096 [0.079-0.11],4.207e-23,***,Noninflammatory disorders of female genital tract,Genitourinary
J10_UPPERINFEC,1002,0.090 [0.079-0.10],3.901e-59,***,Acute upper respiratory infections,Respiratory
N14_URINOTH,1485,0.089 [0.076-0.10],1.132e-33,***,Other diseases of urinary system,Genitourinary
O15_MATERN_CARE_PELVIC_ABNORM,86,0.086 [0.072-0.10],3.498e-29,***,Maternal care for known or suspected abnormality of pelvic organs,Pregnancy
CD2_BENIGN_PITUITARY_CRANIPHAR,90,0.078 [0.072-0.08],3.924e-136,***,"Benign neoplasm: Pituitary gland, craniopharyngeal duct",Neoplasms
N14_ABNORMALBLEED,19,0.075 [0.050-0.10],0.002,**,Other abnormal uterine and vaginal bleeding,Genitourinary
J10_INFLUPNEU,534,0.075 [0.063-0.09],7.522e-29,***,Influenza and pneumonia,Respiratory
K11_FISTULA,485,0.075 [0.070-0.08],8.239e-207,***,Colonic or urogenital fistula,Digestive
E4_ENDOGLAND,62,0.068 [0.049-0.09],1.511e-06,***,Disorders of other endocrine glands,Endocrine and metabolic
K11_CHRONGASTR,210,0.067 [0.057-0.08],3.206e-39,***,Chronic gastritis,Digestive
AB1_OTHER_BACTERIAL,478,0.065 [0.053-0.08],2.087e-20,***,Other bacterial diseases,Infectious and parasitic
O15_LABOUR_FETAL_STRESS,65,0.065 [0.051-0.08],2.836e-14,***,Labour and delivery complicated by fetal stress [distress],Pregnancy
I9_ARTOTH,187,0.064 [0.059-0.07],2.726e-127,***,Other diseases of arteries and capillaries,Circulatory
G6_EPIPAROX,1509,0.060 [0.041-0.08],1.017e-04,***,Episodal and paroxysmal disorders,Nervous
H8_EXTERNAL,828,0.059 [0.055-0.06],1.175e-167,***,Diseases of external ear,Ear and mastoid
N14_FEMALEINFERT,80,0.053 [0.037-0.07],9.574e-06,***,Female infertility,Genitourinary
G6_POLYOTHUNS,107,0.051 [0.041-0.06],4.884e-17,***,"Other and unspecified polyneuropathies, also in other diseases",Nervous
H7_STENOLACRI,62,0.051 [0.035-0.07],3.043e-05,***,Stenosis and insufficiency of lacrimal passages,Eye and adnexa
M13_GANGLION,38,0.049 [0.035-0.06],1.866e-06,***,Ganglion,Musculoskeletal
M13_TENDOSYNOVITISNAS,236,0.047 [0.038-0.06],3.220e-17,***,Other/unspecified synovitis and tenosynovitis,Musculoskeletal
N14_FIOTHNAS,100,0.046 [0.033-0.06],1.457e-07,***,"Female infertility, cervical, vaginal, other or unspecified origin",Genitourinary
M13_CALCIFICTEND,177,0.046 [0.042-0.05],2.941e-119,***,Calcific tendinitis of shoulder,Musculoskeletal
CD2_BENIGN_MELANOCYTIC_TRUNK,183,0.045 [0.041-0.05],1.487e-73,***,Melanocytic naevi of trunk,Neoplasms
L12_DISORDSKINAPPENDIX,424,0.041 [0.032-0.05],2.352e-13,***,Disorders of skin appendages,Skin
CD2_BENIGN_OVARY,144,0.040 [0.030-0.05],1.018e-10,***,Benign neoplasm of ovary,Neoplasms
INFLUENZA,139,0.039 [0.031-0.05],6.556e-18,***,All influenza (not pneumonia),Respiratory
H8_EXT_NAS,170,0.039 [0.033-0.04],6.626e-32,***,"Otitis externa, unspecified",Ear and mastoid
H8_EXTOTITIS,1164,0.039 [0.036-0.04],7.683e-137,***,Otitis externa,Ear and mastoid
G6_SLEEPAPNO,1870,0.038 [0.029-0.05],2.169e-12,***,Sleep apnoea,Nervous
M13_CERVICDISC,530,0.038 [0.029-0.05],5.394e-12,***,Cervical disc disorders,Musculoskeletal
M13_MYALGIA,253,0.037 [0.030-0.04],1.293e-18,***,Myalgia,Musculoskeletal
AB1_VIRAL_SKIN_MUCOUS_MEMBRANE,1622,0.037 [0.032-0.04],2.886e-45,***,Viral infections characterized by skin and mucous membrane lesions,Infectious and parasitic
NEURODEGOTH,4178,0.036 [0.033-0.04],4.366e-181,***,Other degenerative diseases of the nervous system,Nervous
M13_ARTHROSIS_OTH,570,0.035 [0.026-0.05],2.442e-07,***,Other arthrosis,Musculoskeletal
ULCERPROCT,1091,0.035 [0.032-0.04],1.696e-115,***,Ulcerative proctitis,Digestive
N14_ENDOMETRIOSIS_UTERUS,193,0.035 [0.030-0.04],1.485e-31,***,Adenomyosis (Endometriosis of uterus),Genitourinary
CD2_INSITU_BLADDER,34,0.034 [0.027-0.04],1.846e-21,***,"Carcinoma in situ, bladder",Neoplasms
L12_LICHENSIMPLEX,206,0.033 [0.028-0.04],5.044e-30,***,Lichen simplex chronicus,Skin
L12_DERMATITISNAS,2478,0.033 [0.029-0.04],3.662e-37,***,Dermatitis,Skin
H8_OTHEREAR,3939,0.033 [0.028-0.04],8.423e-35,***,Other disorders of ear,Ear and mastoid
ASTHMA_NAS,3914,0.032 [0.029-0.04],2.587e-65,***,"Asthma, unspecified (mode)",Respiratory
H8_HL_PRESBY,136,0.032 [0.023-0.04],1.885e-06,***,Presbycusis,Ear and mastoid
N14_POLYPFEMGEN,303,0.031 [0.021-0.04],0.002,**,Polyp of the female genital tract,Genitourinary
N14_OVARYCYST,986,0.031 [0.024-0.04],1.133e-15,***,Ovarian cyst,Genitourinary
E4_HYPERPIT,147,0.031 [0.023-0.04],3.165e-09,***,Hyperfunction of pituitary gland,Endocrine and metabolic
I9_AORTANEUR,1277,0.031 [0.028-0.03],1.352e-93,***,Aortic aneurysm,Circulatory
O15_MATERN_CARE_OTHER,240,0.030 [0.020-0.04],5.146e-04,***,Maternal care for other known or suspected fetal problems,Pregnancy
K11_OTHANRECT,204,0.030 [0.020-0.04],7.617e-04,***,Other diseases of anus and rectum,Digestive
I9_AVBLOCK,403,0.029 [0.024-0.03],2.728e-21,***,AV-block,Circulatory
N14_NEUROMUSCDYSBLADD,98,0.028 [0.018-0.04],0.002,**,Neuromuscular dysfunction of bladder,Genitourinary
L12_CORNSANDCALLOS,491,0.027 [0.024-0.03],1.327e-77,***,Corns and callosities,Skin
F5_PSYCHOTH,126,0.027 [0.017-0.04],0.003,**,Other and unspecified nonorganic psychotic disorders,Mental and behavioural
I9_SECONDRIGHT,127,0.026 [0.019-0.03],2.001e-09,***,Secondary right heart disease,Circulatory
F5_DELIRIUM,173,0.025 [0.020-0.03],2.284e-18,***,"Delirium, not induced by alcohol and other psychoactive substances",Mental and behavioural
J10_UPPERDIS,4085,0.025 [0.019-0.03],1.553e-09,***,Other diseases of upper respiratory tract,Respiratory
N14_PROSTATITIS,150,0.024 [0.017-0.03],2.163e-05,***,Inflammatory diseases of prostate (prostatitis),Genitourinary
L12_URTICA_NAS,213,0.023 [0.016-0.03],1.473e-05,***,Other and unspecified urticaria,Skin
I9_CONDUCTIO,268,0.023 [0.016-0.03],7.019e-07,***,Conduction disorders,Circulatory
I9_PHLETHROMBDVTLOW,3263,0.023 [0.021-0.02],1.576e-96,***,DVT of lower extremities,Circulatory
CD2_LYMPHOID_LEUKAEMIA,767,0.022 [0.020-0.02],8.128e-62,***,Lymphoid leukaemia,Neoplasms
L12_DERMATITISECZEMA,8564,0.022 [0.019-0.03],9.228e-38,***,Dermatitis and eczema,Skin
N14_FEMGENPROL,2263,0.022 [0.019-0.03],4.635e-33,***,Female genital prolapse,Genitourinary
N14_OTHPENIS,232,0.022 [0.017-0.03],2.958e-16,***,Other disorders of penis,Genitourinary
H7_OPTNERVE,2671,0.022 [0.021-0.02],1.000e-315,***,Disorders of optic nerve and visual pathways,Eye and adnexa
CD2_BENIGN_MELANOCYTIC_SCALPNECK,136,0.022 [0.017-0.03],6.916e-17,***,Melanocytic naevi of scalp and neck,Neoplasms
K11_DIAHER,628,0.022 [0.018-0.03],5.960e-23,***,Diaphragmatic hernia,Digestive
C3_CLL_WIDE,431,0.021 [0.020-0.02],2.217e-140,***,"Chronic lymphocytic leukaemia and small lyphocytis leukaemia, including Hilmo",Neoplasms
F5_MENTORG,85,0.021 [0.016-0.03],1.723e-08,***,Other mental disorders due to brain damage and dysfunction and to physical disease,Mental and behavioural
C3_ANUS_ANALCANAL,76,0.021 [0.016-0.03],7.503e-12,***,Malignant neoplasm of anus and anal canal,Neoplasms
M13_INTERVERTEB,3685,0.021 [0.017-0.03],4.101e-21,***,Other intervertebral disc disorders,Musculoskeletal
N14_EROSECTROPUT,31,0.021 [0.014-0.03],4.496e-04,***,Erosion and ectropion of cervix uteri,Genitourinary
AB1_VIRAL_CNS,85,0.021 [0.014-0.03],1.225e-04,***,Viral infections of the central nervous system,Infectious and parasitic
CD2_INSITU_BREAST_INTRADUCTAL,179,0.021 [0.015-0.03],5.933e-08,***,"Carcinoma in situ of breast, intraductal",Neoplasms
J10_PLEURPLAGUE,310,0.021 [0.018-0.02],2.993e-35,***,Pleural plaque,Respiratory
F5_PTSD,319,0.021 [0.017-0.02],5.003e-20,***,Post-traumatic stress disorder,Mental and behavioural
I9_OTHARR,798,0.020 [0.015-0.03],8.765e-08,***,Other arrhythmias,Circulatory
AB1_VIRAL_OTHER_INTEST_INFECTIONS,985,0.020 [0.014-0.03],1.307e-06,***,Viral and other specified intestinal infections,Infectious and parasitic
I9_THAORTANEUR,1182,0.019 [0.017-0.02],1.107e-67,***,Thoracic aortic aneurysm,Circulatory
E4_PARATHYRO,319,0.019 [0.013-0.02],4.171e-07,***,Disorders of parathyroid gland,Endocrine and metabolic
G6_PARKINSON,2693,0.018 [0.017-0.02],1.000e-315,***,Parkinson's disease,Nervous
F5_VASCDEM,107,0.018 [0.014-0.02],1.849e-10,***,Vascular dementia,Mental and behavioural
M13_SOFTTISSUENAS,67,0.017 [0.011-0.02],0.034,*,Other specified/unspecified soft tissue disorders,Musculoskeletal
ULCERRECT,2148,0.017 [0.014-0.02],1.608e-47,***,Ulcerative rectosigmoiditis,Digestive
D3_ANAEMIA_B12_DEF,5007,0.016 [0.015-0.02],6.423e-278,***,Vitamin B12 deficiency anaemia,Blood and immune
N14_OTHNONINFUTER,645,0.016 [0.010-0.02],0.025,*,"Other noninflammatory disorders of uterus, except cervix",Genitourinary
E4_HYPERPARA,400,0.015 [0.011-0.02],3.073e-06,***,Hyperparathyroidism,Endocrine and metabolic
H7_PARASTRA6,76,0.015 [0.012-0.02],3.897e-12,***,Sixth [abducent] nerve palsy,Eye and adnexa
VD_U,43,0.015 [0.010-0.02],0.003,**,Vascular dementia (undefined),Mental and behavioural
PRIM_KNEEARTHROSIS,1523,0.015 [0.009-0.02],0.011,*,"Primary gonarthrosis, bilateral",Musculoskeletal
AB1_VIRAL_WARTS,3425,0.014 [0.013-0.02],7.765e-168,***,Viral warts,Infectious and parasitic
N14_ENDOMETRIOSIS,3268,0.014 [0.011-0.02],7.392e-20,***,Endometriosis,Genitourinary
N14_PHIMOSIS,4306,0.014 [0.012-0.01],1.663e-84,***,"Redundant prepuce, phimosis and paraphimosis",Genitourinary
DM_NEOVASCULAR_GLAUCOMA,434,0.014 [0.011-0.02],4.796e-14,***,Neovascular glaucoma,Eye and adnexa
I9_AORTDIS,126,0.013 [0.010-0.02],3.331e-13,***,Dissection of aorta,Circulatory
G6_RLS,898,0.013 [0.011-0.01],1.964e-30,***,Restless leg syndrome,Nervous
N14_CERVICAL_DYSPLASIA_ALL,5631,0.013 [0.011-0.01],7.166e-69,***,All dysplastic lesions of the cervix uteri,Genitourinary
CD2_INSITU_CERVIX_UTERI,1636,0.013 [0.011-0.01],7.875e-56,***,Carcinoma in situ of cervix uteri,Neoplasms
IPF,3405,0.012 [0.012-0.01],1.000e-315,***,Idiopathic pulmonary fibrosis,Respiratory
H8_HL_SEN_NAS,5357,0.012 [0.009-0.02],4.751e-06,***,Sensorineural hearing loss,Ear and mastoid
N14_CERVICAL_HSIL,5964,0.012 [0.011-0.01],1.535e-98,***,HSIL lesion of the cervix uteri,Genitourinary
N14_FEMALE_GENITAL_HSIL,6550,0.012 [0.011-0.01],2.234e-105,***,"HSIL lesion of the cervix uteri, vagina or vulva",Genitourinary
ALLERG_RHINITIS,746,0.011 [0.007-0.02],0.005,**,Allergic rhinitis,Respiratory
M13_SPINSTENOSIS,4505,0.011 [0.009-0.01],1.907e-10,***,Spinal stenosis,Musculoskeletal
M13_GOUT,3183,0.011 [0.009-0.01],2.476e-11,***,Gout,Musculoskeletal
N14_CERVICAL_LSIL,1187,0.011 [0.009-0.01],6.445e-21,***,LSIL lesion of the cervix uteri,Genitourinary
N14_FEMALE_GENITAL_DYSPLASIA_ALL,7063,0.011 [0.010-0.01],6.219e-66,***,"All dysplastic lesions of the cervix uteri, vagina or vulva",Genitourinary
I9_CARDMYOOTH,228,0.011 [0.007-0.01],2.992e-04,***,"Cardiomyopathy, other and unspecified",Circulatory
POLLENALLERG,487,0.010 [0.007-0.01],0.004,**,Pollen allergy,Respiratory
G6_OTHDEMYEL,3560,0.010 [0.009-0.01],2.397e-109,***,Other demyelinating diseases of the central nervous system,Nervous
COPD_EARLY,512,0.010 [0.007-0.01],1.884e-07,***,Early onset COPD,Respiratory
GOUT_IDIO,1453,0.010 [0.008-0.01],1.261e-15,***,Idiopathic gout,Musculoskeletal
KRA_PSY_DEMENTIA,2863,0.010 [0.008-0.01],7.189e-16,***,Any dementia,Mental and behavioural
I9_VTE,4388,0.009 [0.007-0.01],4.227e-07,***,Venous thromboembolism,Circulatory
H7_BLINDMONOCULAR,75,0.009 [0.006-0.01],3.454e-04,***,"Blindness, monocular",Eye and adnexa
CD2_BENIGN_MENINGES_CEREBRAL,383,0.009 [0.006-0.01],0.027,*,Benign neoplasm: Cerebral meninges,Neoplasms
C3_BRONCHUS_LUNG,573,0.009 [0.006-0.01],1.378e-06,***,Malignant neoplasm of bronchus and lung,Neoplasms
N14_HYPERTROPHYBREAST,1659,0.009 [0.006-0.01],0.010,**,Hypertrophy of breast,Genitourinary
CD2_BENIGN_MENINGES,586,0.008 [0.006-0.01],0.001,**,Benign neoplasm of meninges,Neoplasms
AD_AM,451,0.008 [0.006-0.01],1.508e-07,***,Alzheimer disease (Atypical or mixed),Nervous
E4_ENDOMETPOSTOP,4212,0.008 [0.007-0.01],1.225e-87,***,"Postprocedural endocrine and metabolic disorders, not elsewhere classified",Endocrine and metabolic
GOUT_NOS,2292,0.008 [0.005-0.01],7.525e-05,***,"Gout, unspecified",Musculoskeletal
C3_LUNG_NONSMALL,527,0.008 [0.006-0.01],8.410e-06,***,Non-small cell lung cancer,Neoplasms
F5_DEMENTIA,3309,0.008 [0.006-0.01],2.148e-11,***,Dementia,Mental and behavioural
J10_EMPHYSEMA,365,0.008 [0.005-0.01],3.969e-04,***,Emphysema,Respiratory
J10_LOWCHRON,14992,0.008 [0.005-0.01],4.296e-05,***,Chronic lower respiratory diseases,Respiratory
F5_ALZHDEMENT,2076,0.007 [0.006-0.01],5.158e-13,***,Dementia in Alzheimer disease,Mental and behavioural
CHRONOTH,1965,0.007 [0.005-0.01],3.910e-13,***,Other Crohn's disease,Digestive
H7_ENTROPION,903,0.007 [0.005-0.01],1.235e-08,***,Entropion and trichiasis of eyelid,Eye and adnexa
M13_GIANTCELL,1909,0.006 [0.005-0.01],3.162e-22,***,Giant cell arteritis,Musculoskeletal
G6_MS,12132,0.005 [0.005-0.01],7.328e-117,***,MS-disease / Multiple Sclerosis,Nervous
E4_THYROIDITAUTOIM,932,0.005 [0.004-0.01],7.890e-07,***,Autoimmune thyroiditis,Endocrine and metabolic
K11_CHOLANGI,1455,0.004 [0.003-0.01],9.309e-10,***,"Cholangitis (primary sclerosing, PSC)",Digestive
G6_ALZHEIMER,2982,0.004 [0.003-0.01],0.005,**,Alzheimer disease,Nervous
H7_ORBIT,4635,0.004 [0.003-0.00],7.267e-55,***,Disorders of orbit,Eye and adnexa
M13_MYOSITIS,988,0.003 [0.002-0.00],6.714e-05,***,Myositis,Musculoskeletal
E4_LACTONAS,2420,0.003 [0.002-0.00],1.457e-20,***,"Lactose intolerance, other/unspecified",Endocrine and metabolic
E4_IRON_MET,3833,0.003 [0.002-0.00],1.044e-34,***,Disorders of iron metabolism,Endocrine and metabolic
L12_PSORI_NAS,8866,0.002 [0.001-0.00],1.985e-08,***,Other and unspecified psoriasis,Skin
M13_MCTD,5075,0.002 [0.001-0.00],8.447e-07,***,Mixed connective tissue disease,Musculoskeletal
D3_SARCOIDOSIS,15089,0.002 [0.001-0.00],2.467e-08,***,Sarcoidosis,Blood and immune
E4_PLASMAPROT,960,0.001 [0.001-0.00],7.055e-05,***,"Disorders of plasma-protein metabolism, not elsewhere classified",Endocrine and metabolic
AUTOHEP,2902,0.001 [0.001-0.00],0.002,**,Autoimmune hepatitis,Digestive
K11_COELIAC,42111,-0.002 [-0.002--0.00],4.544e-171,***,Coeliac disease,Digestive
L12_PSORIASIS,18204,-0.002 [-0.003--0.00],6.072e-04,***,Psoriasis,Skin
E4_THYTOXGOITDIF,19055,-0.002 [-0.002--0.00],8.276e-21,***,Thyrotoxicosis with diffuse goitre,Endocrine and metabolic
E4_GILBERT,452,-0.002 [-0.002--0.00],1.665e-14,***,Gilbert syndrome,Endocrine and metabolic
K11_OTHDIG,23141,-0.002 [-0.003--0.00],5.255e-20,***,Diseases of the digestive system,Digestive
RHEUMA_SEROPOS_WIDE,21443,-0.003 [-0.003--0.00],4.578e-29,***,"Seropositive rheumatoid arthritis, wide",Musculoskeletal
M13_ANKYLOSPON,29005,-0.003 [-0.003--0.00],3.514e-162,***,Ankylosing spondylitis,Musculoskeletal
E4_GLUCOPANCREAS,8980,-0.003 [-0.003--0.00],3.449e-16,***,Other disorders of glucose regulation and pancreatic internal secretion,Endocrine and metabolic
M13_SPONDYLINFLAMNAS,14599,-0.003 [-0.003--0.00],1.671e-83,***,Other specified/unspecified inflammatory spondylopathies,Musculoskeletal
E4_PORBILIR,370,-0.003 [-0.004--0.00],2.914e-22,***,Disorders of porphyrin and bilirubin metabolism,Endocrine and metabolic
DM_NEUROPATHY,5299,-0.003 [-0.004--0.00],1.051e-05,***,Diabetic neuropathy,Endocrine and metabolic
L12_LICHENSCLERATROPH,5062,-0.003 [-0.005--0.00],2.672e-04,***,Lichen sclerosus et atrophicus,Skin
SPONDYLOARTHRITIS,25038,-0.004 [-0.004--0.00],3.109e-140,***,Spondyloarthritis,Musculoskeletal
M13_POLYARTHRITIS,1672,-0.004 [-0.005--0.00],4.457e-16,***,"Polyarthritis, unspecified",Musculoskeletal
