Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
K11_OTHDISDIG,25,0.589 [0.564-0.61],1.000e-315,***,Other diseases of the digestive system,Digestive
N14_CYSTITIS,693,0.473 [0.440-0.51],6.086e-172,***,Cystitis,Genitourinary
MEMLOSS,48,0.432 [0.317-0.55],3.856e-08,***,Memory loss,Mental and behavioural
E4_LIPOPROTNAS,242,0.406 [0.338-0.47],1.291e-26,***,"Disorder of lipoprotein metabolism, unspecified",Endocrine and metabolic
E4_HYPERLIPNAS,1251,0.385 [0.351-0.42],2.128e-104,***,"Hyperlipidaemia, other/unspecified",Endocrine and metabolic
N14_URINOTH,1485,0.346 [0.322-0.37],1.672e-164,***,Other diseases of urinary system,Genitourinary
E4_FH,518,0.314 [0.275-0.35],1.004e-50,***,Familial hypercholesterolemia,Endocrine and metabolic
E4_METABOLIA,4834,0.279 [0.255-0.30],1.671e-111,***,Metabolic disorders,Endocrine and metabolic
I9_POSTAMI,149,0.273 [0.217-0.33],3.814e-16,***,Status post-ami,Circulatory
VD_U,43,0.257 [0.192-0.32],1.656e-09,***,Vascular dementia (undefined),Mental and behavioural
F5_MENTORG,85,0.255 [0.184-0.33],6.236e-07,***,Other mental disorders due to brain damage and dysfunction and to physical disease,Mental and behavioural
F5_DELIRIUM,173,0.218 [0.169-0.27],7.982e-13,***,"Delirium, not induced by alcohol and other psychoactive substances",Mental and behavioural
AB1_BACT_INTEST_OTH,357,0.206 [0.200-0.21],1.000e-315,***,Other bacterial intestinal infections,Infectious and parasitic
E4_LIPOPROT,7076,0.201 [0.185-0.22],1.489e-129,***,Disorders of lipoprotein metabolism and other lipidaemias,Endocrine and metabolic
F5_VASCDEM,107,0.199 [0.147-0.25],1.842e-08,***,Vascular dementia,Mental and behavioural
KRA_PSY_ANYMENTAL,2504,0.139 [0.120-0.16],1.106e-41,***,Any mental disorder,Mental and behavioural
C_DIFFICILE_ENTEROCOLITIS,2693,0.132 [0.128-0.14],1.000e-315,***,Enterocolitis due to Clostridium difficile,Infectious and parasitic
J10_ACUTEUPPERINFEC,241,0.127 [0.095-0.16],5.590e-09,***,Acute upper respiratory infections of multiple and unspecified sites,Respiratory
K11_HAEMORR,329,0.113 [0.091-0.13],6.499e-19,***,Haemorrhoids and perianal venous thrombosis,Digestive
I9_UAP,1483,0.109 [0.090-0.13],1.569e-23,***,Unstable angina pectoris,Circulatory
AD_AM,451,0.107 [0.089-0.13],3.353e-24,***,Alzheimer disease (Atypical or mixed),Nervous
NEURODEGOTH,4178,0.103 [0.096-0.11],9.417e-184,***,Other degenerative diseases of the nervous system,Nervous
K11_OESSTODUO,43,0.100 [0.064-0.14],0.013,*,"Diseases of oesophagus, stomach and duodenum",Digestive
J10_INFLUPNEU,534,0.094 [0.080-0.11],1.090e-34,***,Influenza and pneumonia,Respiratory
F5_DEMENTIA,3309,0.092 [0.084-0.10],1.372e-89,***,Dementia,Mental and behavioural
KRA_PSY_DEMENTIA,2863,0.089 [0.079-0.10],1.824e-71,***,Any dementia,Mental and behavioural
G6_NEURODEGENERATIVE,4070,0.087 [0.080-0.09],6.557e-124,***,Unspecific neurodegenerative disorder,Nervous
N14_CHRONEPHROPATH,18,0.075 [0.064-0.09],1.612e-36,***,Chronic nephritic syndrome,Genitourinary
G6_ALZHEIMER,2982,0.074 [0.066-0.08],4.464e-77,***,Alzheimer disease,Nervous
AUD,259,0.070 [0.060-0.08],5.499e-41,***,"Alcohol use disorder, ICD-based",Mental and behavioural
F5_ALZHDEMENT,2076,0.068 [0.060-0.08],3.059e-54,***,Dementia in Alzheimer disease,Mental and behavioural
N14_MALEGEN,1375,0.067 [0.060-0.07],2.799e-77,***,Diseases of male genital organs,Genitourinary
FALLS,542,0.066 [0.043-0.09],0.004,**,Falls/tendency to fall,Nervous
N14_FEMALEINFERT,80,0.066 [0.051-0.08],2.696e-12,***,Female infertility,Genitourinary
M13_HALLUXVALGUS,3980,0.063 [0.058-0.07],2.974e-145,***,Hallux valgus (acquired),Musculoskeletal
H7_CHALAZION,671,0.062 [0.058-0.07],1.976e-238,***,Chalazion,Eye and adnexa
E4_HYPERLIPMIX,365,0.061 [0.042-0.08],2.019e-05,***,Mixed hyperlipidaemia,Endocrine and metabolic
K11_FISTULA,485,0.059 [0.054-0.06],9.525e-121,***,Colonic or urogenital fistula,Digestive
J10_PLEURPLAGUE,310,0.054 [0.051-0.06],8.885e-291,***,Pleural plaque,Respiratory
J10_SEPTDEV,498,0.052 [0.044-0.06],1.476e-26,***,Deviated nasal septum,Respiratory
L12_ROSACEANAS,82,0.052 [0.043-0.06],6.049e-25,***,Other and unspecified rosacea,Skin
CD2_BENIGN_THYROID,151,0.051 [0.048-0.05],5.581e-287,***,Benign neoplasm of thyroid gland,Neoplasms
N14_FIOTHNAS,100,0.050 [0.038-0.06],4.119e-11,***,"Female infertility, cervical, vaginal, other or unspecified origin",Genitourinary
CD2_BENIGN_COLORECANI,1443,0.050 [0.040-0.06],3.055e-19,***,"Benign neoplasm of colon, rectum, anus and anal canal",Neoplasms
M13_HAMMERTOE,331,0.048 [0.036-0.06],2.547e-08,***,Other hammer toe(s) (acquired),Musculoskeletal
K11_INTESTOTH,398,0.047 [0.033-0.06],1.926e-06,***,Other diseases of intestines,Digestive
CD2_BENIGN_MELANOCYTIC_TRUNK,183,0.046 [0.042-0.05],1.702e-81,***,Melanocytic naevi of trunk,Neoplasms
I9_IHD,7725,0.046 [0.036-0.06],6.083e-14,***,"Ischaemic heart disease, wide definition",Circulatory
I9_CORATHER,8695,0.045 [0.038-0.05],5.853e-25,***,Coronary atherosclerosis,Circulatory
I9_CHD,6392,0.043 [0.034-0.05],1.110e-13,***,Major coronary heart disease event,Circulatory
I9_ANGINA,5810,0.043 [0.034-0.05],7.311e-14,***,Angina pectoris,Circulatory
N14_PHIMOSIS,4306,0.040 [0.038-0.04],1.244e-246,***,"Redundant prepuce, phimosis and paraphimosis",Genitourinary
J10_PLEURA,140,0.038 [0.026-0.05],8.656e-05,***,Other diseases of pleura,Respiratory
CD2_BENIGN_OVARY,144,0.037 [0.028-0.05],1.403e-10,***,Benign neoplasm of ovary,Neoplasms
O15_PRE_OR_ECLAMPSIA,259,0.037 [0.027-0.05],1.275e-06,***,Pre-eclampsia or eclampsia,Pregnancy
I9_HEARTFAIL,682,0.037 [0.029-0.05],4.053e-12,***,"Heart failure, strict",Circulatory
K11_DISORD_TEETH,111,0.035 [0.025-0.04],5.532e-07,***,Other disorders of teeth and supporting structures,Digestive
N14_PROSTHYPERPLA,3795,0.035 [0.032-0.04],1.318e-110,***,Hyperplasia of prostate,Genitourinary
K11_HERNIA,6152,0.034 [0.031-0.04],4.896e-107,***,Hernia,Digestive
CD2_FOLLICULAR_LYMPHOMA,5808,0.033 [0.032-0.03],1.000e-315,***,"Follicular lymphoma, hilmo",Neoplasms
K11_OTHANRECT,204,0.033 [0.023-0.04],3.344e-06,***,Other diseases of anus and rectum,Digestive
CD2_BENIGN_MELANOCYTIC,521,0.031 [0.025-0.04],6.662e-21,***,Melanocytic naevi,Neoplasms
H7_STENOLACRI,62,0.031 [0.024-0.04],6.203e-12,***,Stenosis and insufficiency of lacrimal passages,Eye and adnexa
COPD_EARLY,512,0.030 [0.028-0.03],1.061e-96,***,Early onset COPD,Respiratory
F5_DEPRESSIO,2165,0.029 [0.023-0.04],8.874e-15,***,Depression,Mental and behavioural
E4_HYPERPIT,147,0.029 [0.025-0.03],1.217e-34,***,Hyperfunction of pituitary gland,Endocrine and metabolic
M13_POLYARTHRITIS,1672,0.028 [0.026-0.03],2.276e-89,***,"Polyarthritis, unspecified",Musculoskeletal
N14_OTHPENIS,232,0.027 [0.022-0.03],8.711e-16,***,Other disorders of penis,Genitourinary
H7_OPTNERVE,2671,0.027 [0.022-0.03],5.599e-21,***,Disorders of optic nerve and visual pathways,Eye and adnexa
CD2_NONFOLLICULAR_LYMPHOMA,1093,0.026 [0.019-0.03],6.739e-09,***,Non-follicular lymphoma,Neoplasms
O15_GESTAT_HYPERT,476,0.026 [0.019-0.03],3.673e-07,***,Gestational [pregnancy-induced] hypertension,Pregnancy
J10_EMPHYSEMA,365,0.026 [0.023-0.03],1.535e-79,***,Emphysema,Respiratory
C3_ANUS_ANALCANAL,76,0.025 [0.021-0.03],1.042e-25,***,Malignant neoplasm of anus and anal canal,Neoplasms
CD2_INSITU_BLADDER,34,0.025 [0.019-0.03],1.903e-11,***,"Carcinoma in situ, bladder",Neoplasms
K11_GULC,244,0.025 [0.018-0.03],7.962e-09,***,Gastric ulcer,Digestive
C3_BRONCHUS_LUNG,573,0.024 [0.021-0.03],4.745e-39,***,Malignant neoplasm of bronchus and lung,Neoplasms
J10_CHRONTONSADEN,5827,0.023 [0.018-0.03],1.679e-13,***,Chronic diseases of tonsils and adenoids,Respiratory
K11_DIAHER,628,0.023 [0.019-0.03],2.966e-22,***,Diaphragmatic hernia,Digestive
